Time (s),W,X,Y,Z
0.000000000,-0.7153652,0.361516,0.5061588,0.313033
0.005075932,-0.7153552,0.3615051,0.5061712,0.3130486
0.010151863,-0.7153479,0.361494,0.5061818,0.3130608
0.015227795,-0.7153409,0.3614821,0.5061896,0.3130781
0.020303726,-0.7153318,0.361472,0.5061978,0.3130971
0.025379658,-0.7153293,0.3614601,0.5062023,0.313109
0.030455589,-0.7153287,0.3614451,0.5062079,0.3131188
0.035531521,-0.715323,0.3614312,0.5062173,0.3131332
0.040607452,-0.7153181,0.3614209,0.5062264,0.3131414
0.045683384,-0.7153141,0.3614142,0.5062345,0.3131451
0.050759792,-0.7153124,0.3614035,0.5062432,0.3131473
0.055835724,-0.7153075,0.3613965,0.50625,0.3131558
0.060911655,-0.7153015,0.3613917,0.5062584,0.3131613
0.065987587,-0.715299,0.361382,0.5062653,0.3131671
0.071063519,-0.7152936,0.3613777,0.5062728,0.313172
0.076139450,-0.7152908,0.3613684,0.5062782,0.3131805
0.081215382,-0.7152874,0.3613584,0.5062837,0.3131911
0.086291313,-0.715281,0.361348,0.5062966,0.3131969
0.091366768,-0.7152757,0.3613378,0.5063034,0.3132094
0.096443176,-0.7152733,0.361331,0.5063068,0.3132172
0.101519108,-0.7152716,0.3613192,0.5063095,0.3132303
0.106594563,-0.7152755,0.3613043,0.506312,0.3132348
0.111670494,-0.7152774,0.3612915,0.5063156,0.3132393
0.116746426,-0.7152802,0.3612768,0.5063185,0.3132453
0.121822357,-0.7152845,0.3612643,0.5063189,0.313249
0.126898289,-0.7152907,0.3612514,0.5063161,0.3132542
0.131974220,-0.7152941,0.3612412,0.5063183,0.313255
0.137050152,-0.7152983,0.361229,0.5063196,0.3132571
0.142126083,-0.7153004,0.361219,0.5063223,0.3132593
0.147202015,-0.7153065,0.3612102,0.5063198,0.3132598
0.152277947,-0.7153105,0.3612084,0.5063166,0.3132578
0.154816151,-0.7153131,0.3612039,0.5063163,0.3132575
0.159892082,-0.7153203,0.361198,0.5063109,0.3132569
0.164968014,-0.7153215,0.3611929,0.5063111,0.3132597
0.170043945,-0.7153239,0.3611946,0.5063109,0.3132523
0.175119877,-0.7153298,0.3611886,0.5063125,0.3132434
0.180195808,-0.7153366,0.361191,0.5063111,0.3132274
0.185271740,-0.7153408,0.3611833,0.5063169,0.3132172
0.190347672,-0.7153421,0.361177,0.5063208,0.3132152
0.195424080,-0.7153431,0.3611699,0.5063271,0.313211
0.200504303,-0.715347,0.3611604,0.5063293,0.3132097
0.205575943,-0.7153485,0.3611584,0.5063294,0.3132084
0.210651875,-0.7153466,0.3611626,0.5063305,0.3132056
0.215727806,-0.7153444,0.3611647,0.5063345,0.3132018
0.220803738,-0.7153423,0.361163,0.5063393,0.3132011
0.225879669,-0.7153417,0.3611635,0.5063416,0.3131983
0.230955601,-0.7153418,0.3611558,0.5063456,0.3132005
0.236031532,-0.7153393,0.3611461,0.5063523,0.3132063
0.241107464,-0.7153338,0.3611384,0.5063591,0.313217
0.246183395,-0.7153322,0.3611346,0.5063573,0.3132278
0.251259327,-0.7153308,0.3611307,0.506358,0.3132344
0.256335258,-0.7153258,0.3611185,0.5063658,0.3132471
0.261411190,-0.7153225,0.3611102,0.5063716,0.3132549
0.266487121,-0.7153173,0.361102,0.5063798,0.3132629
0.271563530,-0.7153106,0.3610972,0.5063902,0.3132671
0.276639461,-0.7153046,0.3610907,0.5063982,0.3132754
0.281715393,-0.7152951,0.3610824,0.5064119,0.3132844
0.286791324,-0.715285,0.3610735,0.5064257,0.3132955
0.291867256,-0.7152762,0.3610708,0.5064373,0.3132998
0.296943188,-0.7152672,0.3610615,0.5064506,0.3133095
0.302019119,-0.715258,0.3610512,0.5064654,0.3133187
0.307095051,-0.7152519,0.3610387,0.5064793,0.3133247
0.312170982,-0.7152376,0.3610428,0.506493,0.3133304
0.317246914,-0.7152273,0.3610376,0.5065061,0.3133384
0.319785118,-0.7152241,0.361034,0.5065113,0.3133415
0.324861049,-0.7152134,0.3610298,0.5065249,0.3133489
0.329937458,-0.7152,0.3610216,0.50654,0.3133644
0.335012913,-0.7151902,0.3610103,0.5065538,0.3133774
0.340088844,-0.7151784,0.3610067,0.5065688,0.3133846
0.345164776,-0.715167,0.3610021,0.5065833,0.3133925
0.350240707,-0.7151637,0.3609903,0.5065906,0.3134016
0.355316639,-0.7151572,0.3609816,0.5066016,0.3134089
0.360392570,-0.7151501,0.3609748,0.5066083,0.3134219
0.365468502,-0.715149,0.3609654,0.5066113,0.3134301
0.370544433,-0.7151434,0.360954,0.5066164,0.313448
0.375620365,-0.7151443,0.3609473,0.5066139,0.3134579
0.380696773,-0.7151464,0.3609359,0.506617,0.3134613
0.385772705,-0.7151462,0.3609228,0.5066188,0.3134737
0.390848636,-0.7151439,0.3609058,0.5066277,0.3134839
0.395928860,-0.7151443,0.3608938,0.5066304,0.3134925
0.401000500,-0.715144,0.3608931,0.506629,0.3134963
0.406076431,-0.715147,0.3608859,0.5066256,0.3135033
0.411155224,-0.7151464,0.3608741,0.5066288,0.3135133
0.416228294,-0.7151489,0.3608643,0.5066271,0.3135209
0.421305656,-0.7151518,0.360854,0.5066239,0.313532
0.426380157,-0.7151523,0.3608496,0.5066212,0.3135399
0.431456089,-0.7151598,0.3608433,0.5066172,0.3135367
0.436532020,-0.7151625,0.3608301,0.5066172,0.3135457
0.441607952,-0.7151676,0.3608229,0.5066147,0.3135465
0.446683884,-0.7151714,0.3608197,0.506612,0.3135457
0.451761246,-0.7151734,0.360815,0.5066112,0.313548
0.456836223,-0.7151769,0.3608139,0.5066075,0.313547
0.461912155,-0.7151785,0.3608068,0.5066087,0.3135499
0.466989994,-0.7151873,0.3607989,0.5066005,0.3135518
0.472064018,-0.7151875,0.3608004,0.5065963,0.3135566
0.477139950,-0.715193,0.3608021,0.506587,0.3135573
0.482215881,-0.7151908,0.3608051,0.5065864,0.31356
0.484755039,-0.7151913,0.360806,0.5065849,0.31356
0.489829540,-0.7151925,0.3608063,0.5065849,0.3135569
0.494905949,-0.7151901,0.3608066,0.5065885,0.3135559
0.499981880,-0.7151908,0.3607968,0.5065958,0.3135541
0.505057812,-0.7151906,0.3607934,0.506601,0.31355
0.510133743,-0.7151915,0.3607846,0.5066068,0.3135487
0.515209675,-0.7151898,0.3607773,0.506614,0.3135495
0.520285606,-0.715185,0.3607736,0.5066215,0.3135523
0.525361538,-0.7151791,0.3607705,0.5066305,0.3135549
0.530437469,-0.7151641,0.3607682,0.506651,0.3135588
0.535513401,-0.7151548,0.3607662,0.5066622,0.3135641
0.540589332,-0.7151439,0.3607637,0.5066738,0.3135729
0.545665264,-0.7151327,0.3607576,0.5066912,0.3135777
0.550741196,-0.715122,0.3607531,0.5067039,0.3135867
0.555821895,-0.7151044,0.3607494,0.5067216,0.3136023
0.560892582,-0.7150921,0.3607381,0.5067396,0.3136143
0.565968513,-0.7150766,0.3607283,0.5067534,0.3136388
0.571044445,-0.7150559,0.3607236,0.5067744,0.3136572
0.576120376,-0.7150378,0.3607192,0.5067922,0.3136749
0.581196308,-0.7150208,0.3607117,0.5068129,0.3136892
0.586272240,-0.7150025,0.3607044,0.5068339,0.3137049
0.591348171,-0.7149855,0.3606985,0.506855,0.3137164
0.596424103,-0.7149699,0.3606915,0.5068728,0.3137315
0.601500511,-0.714956,0.3606789,0.5068886,0.3137521
0.606576443,-0.7149424,0.3606682,0.5068981,0.3137796
0.611652374,-0.7149327,0.3606555,0.506905,0.3138052
0.616728306,-0.7149204,0.3606512,0.5069126,0.3138259
0.621804714,-0.7149119,0.3606451,0.5069184,0.3138431
0.626880169,-0.7149024,0.3606328,0.5069295,0.313861
0.631956100,-0.7148947,0.3606288,0.5069347,0.3138748
0.637032032,-0.7148892,0.360624,0.5069381,0.3138873
0.642107963,-0.7148871,0.3606168,0.506943,0.3138925
0.647183895,-0.714881,0.3606103,0.506951,0.3139007
0.649722099,-0.7148795,0.3606051,0.5069545,0.3139047
0.654798031,-0.7148759,0.3605977,0.506963,0.3139074
0.659873962,-0.7148746,0.3605866,0.5069731,0.313907
0.664949894,-0.7148703,0.3605822,0.5069811,0.3139089
0.670025825,-0.7148669,0.3605816,0.506989,0.3139046
0.675101757,-0.7148631,0.3605812,0.5069945,0.3139046
0.680177689,-0.7148633,0.360587,0.5069939,0.3138988
0.685253620,-0.7148638,0.3605894,0.5069979,0.3138883
0.690329552,-0.714865,0.3605898,0.5069979,0.3138852
0.695405483,-0.7148657,0.3605928,0.5069987,0.3138786
0.700481415,-0.7148716,0.3605943,0.5069916,0.313875
0.705557346,-0.7148783,0.3605879,0.5069895,0.3138705
0.710633278,-0.7148856,0.3605885,0.5069825,0.3138645
0.715709686,-0.714891,0.3605927,0.5069763,0.3138574
0.720785618,-0.7148957,0.3605965,0.506971,0.3138507
0.725861549,-0.7148983,0.3605977,0.5069692,0.3138466
0.730937481,-0.7149025,0.3606027,0.5069652,0.3138376
0.736013412,-0.7149088,0.3606018,0.5069605,0.3138316
0.741089344,-0.7149145,0.3606043,0.5069563,0.313823
0.746165276,-0.7149204,0.3606021,0.5069498,0.3138224
0.751241207,-0.7149276,0.3606001,0.506947,0.3138128
