Time (s),Humidity (%)
0.911134243,13.38574
1.911097527,13.17285
2.911061287,12.12012
3.911024570,12.26563
4.910987854,12.89355
5.910951614,13.47559
6.910914898,13.33008
7.910879135,12.09766
8.910842895,13.03906
9.910807133,13.20703
10.910770893,13.58789
11.910735130,13.39746
12.910699368,12.5127
13.910663605,13.38672
14.910627842,13.10645
15.910592079,13.30859
16.910556793,13.75684
17.910521507,12.24414
18.910485744,12.88281
19.910450459,12.2666
20.910415173,12.58105
21.910380840,12.82715
22.910345554,13.24219
23.910310745,11.9873
24.910275936,13.25293
25.910241127,12.80469
26.910206318,12.81641
27.910171986,12.55859
28.910137176,12.69336
29.910103798,12.57031
30.910068989,13.29883
31.910035133,13.71289
32.912538528,12.50293
33.912504673,12.8623
34.912470818,13.24316
35.912437439,13.44434
36.912403584,13.61328
37.912370205,13.62402
38.912336826,14.08301
39.912303448,12.31348
40.912270069,13.1875
41.912236214,12.15625
42.912202835,12.79492
43.912169933,13.85938
44.912136555,13.69141
45.912103653,13.74805
46.912070274,12.99707
47.912037373,12.61621
48.912003994,12.40332
49.911971569,12.94141
50.911938190,13.1875
51.911905289,13.42285
52.911872864,12.70605
53.911839485,12.85156
54.911807060,11.56348
55.911779404,13.22168
56.911741257,12.85156
57.911708832,12.89648
58.911676407,13.68066
59.911643028,13.34473
60.911615849,13.86035
61.911578178,13.56934
62.911545753,12.9082
63.911513329,12.50488
64.911480904,12.62793
65.911448002,13.08789
66.911415577,14.14063
67.911384106,13.2666
68.911351204,12.81836
69.911318779,13.00977
70.911290169,13.43457
71.911258697,13.77148
72.911222935,13.54688
73.911190033,12.65137
