Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.003711224,0.9283326,0.05226915,-0.3499436,-0.07351532,0.9894072,-0.04744433,0.3461042,0.07016696,0.9285908
0.008641243,0.9282621,0.05310352,-0.3500061,-0.07434601,0.9893535,-0.04727363,0.3461169,0.07030036,0.9285761
0.013571262,0.9282844,0.05278497,-0.3499942,-0.07403057,0.9893738,-0.04734082,0.3461238,0.07025258,0.9285769
0.018501759,0.9283499,0.052051,-0.3499309,-0.07332384,0.9894162,-0.0475574,0.346099,0.0702053,0.9285901
0.023431778,0.9284213,0.05070863,-0.3499374,-0.07202818,0.9894935,-0.04791867,0.3461784,0.07009204,0.928569
0.028361797,0.9283639,0.0514456,-0.3499826,-0.07277466,0.9894446,-0.04780442,0.3461767,0.07024787,0.9285578
0.033291340,0.9282966,0.05236682,-0.3500258,-0.0736837,0.9893876,-0.04759973,0.3461662,0.0703757,0.9285523
0.038222313,0.9281688,0.05414303,-0.3500956,-0.0754256,0.9892768,-0.04717858,0.3461349,0.07059301,0.9285474
0.043152332,0.9281647,0.05405986,-0.3501187,-0.07534016,0.9892829,-0.04718214,0.3461638,0.07056788,0.9285383
0.048081875,0.9282387,0.05303852,-0.3500789,-0.07434452,0.989346,-0.04744035,0.3461809,0.07045999,0.9285405
0.053011894,0.9283296,0.0517711,-0.3500265,-0.07309432,0.9894253,-0.04772178,0.3462023,0.07028443,0.9285458
0.057941914,0.9283262,0.05188846,-0.3500173,-0.07320514,0.9894186,-0.04768544,0.3461871,0.07028855,0.9285508
0.062872410,0.9282919,0.05228461,-0.3500493,-0.07358953,0.9893952,-0.04757695,0.3461976,0.07032286,0.9285442
0.067802429,0.9282393,0.05303292,-0.3500775,-0.07431842,0.9893504,-0.04738645,0.3461843,0.07040038,0.9285436
0.072732449,0.9282296,0.05321733,-0.350076,-0.07449351,0.9893402,-0.04732909,0.3461734,0.07040767,0.9285473
0.077662468,0.9281645,0.05400327,-0.3501277,-0.07525325,0.989293,-0.04710851,0.3461831,0.07046921,0.9285386
0.082592964,0.9280981,0.05480475,-0.3501801,-0.07602781,0.9892447,-0.04688308,0.3461928,0.07053149,0.9285304
0.087522984,0.9280691,0.05519167,-0.3501961,-0.07639197,0.9892229,-0.04674998,0.3461902,0.07053491,0.9285309
0.092453003,0.9281181,0.05460975,-0.3501568,-0.07580632,0.9892629,-0.04685131,0.3461869,0.07042315,0.9285405
0.097383022,0.9281799,0.05386442,-0.3501083,-0.07506364,0.9893125,-0.04700064,0.3461829,0.07030103,0.9285514
0.102313519,0.9281772,0.05380422,-0.3501254,-0.07500163,0.9893174,-0.0470027,0.3462043,0.07028232,0.9285452
0.107243538,0.9281202,0.05459632,-0.3501538,-0.07576632,0.9892694,-0.04678281,0.3461906,0.07034493,0.9285453
0.112173557,0.9280507,0.0555107,-0.3501957,-0.07664874,0.989214,-0.04652609,0.3461841,0.07041498,0.9285427
0.117103577,0.9279828,0.05626619,-0.3502547,-0.07737036,0.9891687,-0.04628853,0.3462052,0.07044797,0.9285319
0.124498844,0.9279197,0.05701984,-0.3503005,-0.07808503,0.9891244,-0.04604037,0.3462144,0.0704679,0.9285271
0.129428387,0.9279225,0.05704112,-0.3502896,-0.07809435,0.9891251,-0.04600679,0.3462048,0.07043908,0.9285328
0.134355068,0.9279204,0.05700984,-0.3503006,-0.07805254,0.9891297,-0.04598157,0.3462202,0.07040157,0.92853
0.139285088,0.9279416,0.05668549,-0.3502975,-0.07772538,0.9891533,-0.04603208,0.3462375,0.0703345,0.9285289
0.144215107,0.9279553,0.05655618,-0.3502822,-0.0775933,0.9891628,-0.04605082,0.3462304,0.07030503,0.9285339
0.149145126,0.9279326,0.05680598,-0.350301,-0.07783533,0.9891467,-0.04598163,0.346236,0.07032588,0.9285298
0.154075623,0.9279208,0.05691423,-0.3503149,-0.07795732,0.9891364,-0.04599646,0.3462403,0.07038315,0.9285238
0.159005642,0.9278846,0.05729176,-0.3503495,-0.07833973,0.9891092,-0.0459353,0.3462514,0.07046147,0.9285138
0.163935661,0.9278783,0.05733585,-0.3503591,-0.07839135,0.9891046,-0.04594567,0.3462567,0.07048978,0.9285097
0.168865681,0.9279055,0.05699297,-0.3503427,-0.07806119,0.9891261,-0.04604411,0.3462581,0.07046566,0.928511
0.173796177,0.9279449,0.05650748,-0.3503166,-0.07759482,0.9891559,-0.04618711,0.346257,0.07043514,0.9285137
0.178726196,0.9279751,0.05602789,-0.3503135,-0.07713485,0.9891854,-0.04632545,0.3462786,0.07040389,0.928508
0.183656216,0.9280108,0.05556641,-0.3502917,-0.07669432,0.9892127,-0.04646817,0.34628,0.07038242,0.928509
0.188586712,0.9280177,0.05544808,-0.3502925,-0.07658858,0.9892185,-0.04652277,0.3462854,0.07039665,0.9285062
0.193516731,0.9280066,0.05552652,-0.3503094,-0.0766772,0.9892112,-0.04653266,0.3462954,0.07043783,0.9284993
0.198446751,0.9279824,0.05573088,-0.3503411,-0.0768906,0.9891954,-0.04651396,0.346313,0.07049669,0.9284882
0.203376770,0.9279215,0.05654889,-0.3503723,-0.07767098,0.9891465,-0.04626128,0.3463029,0.07053447,0.9284891
0.208306313,0.9278905,0.05694106,-0.3503912,-0.07803874,0.9891243,-0.04612206,0.3463037,0.07053371,0.928489
0.213237286,0.9278762,0.05710791,-0.3504021,-0.07818741,0.9891163,-0.04604123,0.3463087,0.07051064,0.9284889
0.218166828,0.927872,0.05719508,-0.350399,-0.07826351,0.9891124,-0.04599675,0.3463027,0.0704954,0.9284922
0.223096848,0.9278764,0.05717682,-0.35039,-0.07823486,0.9891156,-0.04597395,0.3462971,0.07046353,0.9284967
0.228026867,0.9278765,0.05718997,-0.3503881,-0.07823972,0.9891164,-0.04594975,0.3462961,0.07044245,0.9284987
0.232957363,0.9278539,0.05744528,-0.3504071,-0.07848309,0.9891014,-0.04586832,0.3463026,0.07045238,0.9284959
