Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.627358436,0.206805,1.003769,68.73434
0.632288456,0.3208538,1.005579,68.73434
0.637218475,0.2469933,1.004583,68.73434
0.642148971,0.1529381,1.006581,69.2002
0.647078991,0.2733138,1.004101,69.2002
0.652009010,0.1577831,1.003718,69.2002
0.656938553,0.3558203,1.009273,69.2002
0.664333820,0.145712,1.008804,69.2002
0.669263840,0.2581317,1.004179,69.2002
0.674194813,0.2807813,1.00283,69.2002
0.679124355,0.2405195,1.010394,69.2002
0.684054375,0.340881,1.001559,69.2002
0.688984394,0.185102,0.9992464,69.05656
0.693914890,0.3154876,1.008216,69.05656
0.698844910,0.04414774,1.002192,69.05656
0.703774929,0.3510235,0.9898117,69.05656
0.708704948,1.140407,1.007457,69.05656
0.713635445,1.308327,1.018443,69.05656
0.718565464,1.327666,1.015576,69.05656
0.723495483,1.444502,1.004365,69.05656
0.728425503,1.494359,0.994068,69.05656
0.733352184,1.776955,1.005418,69.05656
0.738282204,1.960406,0.9997092,68.69688
0.743211746,2.208034,1.003555,68.69688
0.748141766,2.652235,1.010057,68.69688
0.753072739,3.301048,1.006976,68.69688
0.758002281,3.818652,0.9993232,68.69688
0.762932301,4.405603,1.002166,68.69688
0.767864227,4.917979,1.004967,68.69688
0.772792816,5.380949,1.005835,68.69688
0.777722835,5.731703,1.006818,68.69688
0.782652855,6.274548,1.006044,68.69688
0.787582874,6.65421,1.002342,69.09557
0.792513370,7.260822,1.004807,69.09557
0.797443390,7.260822,1.007056,69.09557
0.802373409,7.228665,1.002017,69.09557
0.807303429,6.928997,1.002396,69.09557
0.812233448,6.683441,1.003315,69.09557
0.817163944,6.329236,1.012131,69.09557
0.822093964,6.059432,1.006144,69.09557
0.827023983,5.462239,1.003586,69.09557
0.831953526,4.643362,1.007438,69.09557
0.839348793,3.081557,1.00214,69.07504
0.844279766,1.95173,1.012266,69.07504
0.849209785,1.081712,1.001821,69.07504
0.854139328,0.4858195,1.006844,69.07504
0.859069347,0.2653272,1.008915,69.07504
0.863999367,0.2969236,1.00556,69.07504
0.868929863,0.3554688,1.006914,69.07504
0.873859882,0.08885838,1.001502,69.07504
0.878789902,0.2409134,1.002095,69.07504
0.883719921,0.2899442,1.000139,68.69511
0.888650417,0.4482592,1.007966,68.69511
0.893580437,0.5720556,1.004694,68.69511
0.898510456,0.5030249,1.008531,68.69511
0.903440475,0.2944447,1.005798,68.69511
0.908370972,0.4721797,1.008458,68.69511
0.913300991,0.31752,1.004942,68.69511
0.918231010,0.5389256,1.005212,68.69511
0.923166275,0.6498173,1.003675,68.69511
0.928091526,0.8509014,1.007767,68.69511
0.933017254,1.348433,1.002812,68.7839
0.937947273,1.644736,1.00528,68.7839
0.942877293,1.994808,1.001574,68.7839
0.947807789,2.706074,1.010767,68.7839
0.952737808,2.893799,1.003427,68.7839
0.957667828,3.381749,1.002256,68.7839
0.962597847,4.009076,1.011232,68.7839
0.967528343,4.725903,1.001421,68.7839
0.972458363,5.430591,1.006346,68.7839
0.977388382,6.386131,1.002876,68.7839
0.982321739,7.364977,1.002151,68.97219
0.987248898,8.655701,0.9950005,68.97219
0.992178917,9.429721,0.993709,68.97219
0.997108936,9.489929,1.004872,68.97219
1.002038956,10.57475,1.005118,68.97219
1.006969452,11.55313,1.007469,68.97219
1.011899471,12.90508,1.000926,68.97219
1.019294739,15.05341,1.004876,68.97219
1.024224758,16.67298,1.001953,68.97219
1.029154301,17.97479,1.001356,68.92601
1.034084320,19.65055,1.00382,68.92601
1.039014816,21.25899,1.004987,68.92601
1.043944836,23.27991,1.001611,68.92601
1.048874855,25.02968,0.9932399,68.92601
1.053804874,26.84727,1.001928,68.92601
1.058735371,28.77525,0.999174,68.92601
1.063665390,31.11451,0.9986398,68.92601
1.068595409,33.74929,1.003692,68.92601
1.073530674,36.78075,1.000881,68.92601
1.078455925,40.21326,1.00008,69.17973
1.083385944,43.68032,1.001866,69.17973
1.088315964,47.48457,0.9999028,69.17973
1.093245983,51.08683,1.000186,69.17973
1.098176479,54.98414,1.007469,69.17973
1.103107929,58.76567,1.001152,69.17973
1.108036518,62.54039,1.003662,69.17973
1.112966538,65.99251,1.010924,69.17973
1.117897034,69.56725,0.9980058,69.17973
1.122827053,72.93501,0.9959473,69.17973
1.127757072,76.17538,1.003907,68.29234
1.132684231,79.43746,0.9958141,68.29234
1.137612820,82.71849,1.000171,68.29234
1.142543316,85.64488,1.012258,68.29234
1.147473335,88.42329,1.006269,68.29234
1.152403355,91.20047,0.9990362,68.29234
1.157333374,93.68685,0.99876,68.29234
1.162263870,96.35746,1.002129,68.29234
1.167193890,98.72426,1.006759,68.29234
1.172123909,100.8125,1.010909,68.29234
1.177053928,102.9051,0.996734,68.61032
1.181984425,105.0204,0.9935235,68.61032
1.186914444,107.1876,1.001121,68.61032
1.194309712,109.7586,1.015301,68.61032
1.199239254,111.9516,1.006309,68.61032
1.204169273,114.0941,1.005724,68.61032
1.209100246,116.74,1.005864,68.61032
1.214029789,119.1948,0.9977931,68.61032
1.218959808,121.5769,1.009342,68.61032
1.223889828,123.9563,1.005434,68.61032
1.228820324,126.453,1.001664,68.06739
1.233750343,128.7882,1.005239,68.06739
1.238680363,130.7477,1.010391,68.06739
1.243610382,132.6015,1.014287,68.06739
1.248540401,134.194,1.011973,68.06739
1.253470898,135.5805,1.005433,68.06739
1.258400917,136.9465,1.004679,68.06739
1.263330936,138.1127,1.008771,68.06739
1.268260956,139.2657,1.001762,68.06739
1.273191452,140.1547,0.9999753,68.06739
1.278121471,141.27,1.005565,67.85185
1.283051491,142.3784,1.004722,67.85185
1.287981510,143.6699,1.004639,67.85185
1.292912006,144.6873,1.00899,67.85185
1.297842026,145.6427,1.008884,67.85185
1.302772045,146.818,0.9985812,67.85185
1.307701588,148.2128,0.9905078,67.85185
1.312633514,149.2216,0.9980642,67.85185
1.317562103,149.4992,1.00529,67.85185
1.322492122,149.5417,1.015236,67.40849
1.327425003,150.401,1.021907,67.40849
1.332348823,152.3232,1.036605,67.40849
1.337278843,154.0663,1.024611,67.40849
1.342208862,155.5579,1.014737,67.40849
1.347138882,156.3281,1.009117,67.40849
1.352069378,156.7695,0.999868,67.40849
1.356999397,157.4193,0.9988565,67.40849
1.361929417,157.2231,1.016653,67.40849
1.369324684,158.3023,1.026875,67.40849
1.374255657,158.8972,1.022206,66.32086
1.379184246,159.26,1.011132,66.32086
1.384115219,159.8769,1.001404,66.32086
1.389044762,160.6888,0.9978535,66.32086
1.393974781,160.9061,1.006776,66.32086
1.398904800,161.1517,1.022254,66.32086
1.403835296,161.0314,1.010695,66.32086
1.408765316,161.2923,1.011557,66.32086
1.413695335,162.4514,1.015993,66.32086
1.418625355,163.9007,1.016707,66.32086
1.423555851,164.6304,1.024209,66.54496
1.428485870,164.7463,1.010593,66.54496
1.433419227,164.7304,1.010735,66.54496
1.438345909,164.4042,1.010595,66.54496
1.443276405,163.8179,0.9948497,66.54496
1.448206425,163.5433,1.013593,66.54496
1.453136444,162.9581,1.014084,66.54496
1.458066463,163.1406,1.016457,66.54496
1.462996960,163.0515,1.011408,66.54496
1.467926979,162.1116,1.008353,66.54496
1.472856998,162.0883,1.007514,65.98886
1.477786541,161.4836,1.002122,65.98886
1.482717514,160.2583,1.019328,65.98886
1.487647533,160.0507,1.026581,65.98886
1.492577076,159.1167,1.013453,65.98886
1.497507095,159.354,1.026394,65.98886
1.502438068,158.1054,1.01303,65.98886
1.507367611,157.6914,1.014345,65.98886
1.512297630,156.439,1.010587,65.98886
1.517227650,155.8604,1.007356,65.98886
1.522158146,155.0611,1.011396,65.45856
1.527088165,153.7368,1.00451,65.45856
1.532014370,152.3863,1.020446,65.45856
1.536944389,151.8122,1.016963,65.45856
1.541873932,150.4952,1.034787,65.45856
1.549269199,148.5179,1.018904,65.45856
1.554200172,146.7858,1.012725,65.45856
1.559130192,145.2084,1.008644,65.45856
1.564059734,143.425,0.996961,65.45856
1.568989754,141.4604,0.9920117,65.37949
1.573920727,140.0542,1.013823,65.37949
1.578850269,138.9539,1.036302,65.37949
1.583780289,137.5631,1.01277,65.37949
1.588710308,136.5022,1.008148,65.37949
1.593640804,135.6641,1.018548,65.37949
1.598570824,134.1648,1.007414,65.37949
1.603500843,133.4574,1.000474,65.37949
1.608430862,131.8049,1.020346,65.37949
1.613361359,131.2725,1.031512,65.37949
1.618291378,129.9116,1.014415,65.22369
1.623221397,128.3689,1.001114,65.22369
1.628156662,126.8197,1.00067,65.22369
1.633081913,125.8073,1.019838,65.22369
1.638011932,124.671,1.021323,65.22369
1.642941952,123.1086,1.006014,65.22369
1.647871971,121.5016,1.004183,65.22369
1.652801514,119.4477,1.003978,65.22369
1.657732487,117.7155,1.007864,65.22369
1.662662506,115.7908,1.008882,65.22369
1.667592049,113.9332,1.014086,64.95467
1.672522068,112.1984,0.9969742,64.95467
1.677453041,110.3156,1.003993,64.95467
1.682382584,107.99,1.007281,64.95467
1.687312603,106.2079,1.006596,64.95467
1.692242622,104.1364,1.021479,64.95467
1.697173119,102.5796,1.016383,64.95467
1.702103138,101.8988,1.033419,64.95467
1.707033157,100.2196,1.027897,64.95467
1.711963177,99.1358,0.999272,64.95467
1.716893673,98.03107,0.9998212,65.02585
1.724288940,96.29708,1.014189,65.02585
1.729218960,95.36996,1.00753,65.02585
1.734149456,94.26884,1.002607,65.02585
1.739074707,93.39745,1.014805,65.02585
1.744005680,92.4785,1.00456,65.02585
1.748935699,91.6689,1.004791,65.02585
1.753865242,91.12636,1.010394,65.02585
1.758795261,90.37588,1.007848,65.02585
1.763725758,89.72414,1.006068,65.26111
1.768655777,88.81804,1.005151,65.26111
1.773585796,87.85407,1.011124,65.26111
1.778515816,87.00657,1.014651,65.26111
1.783446312,86.07609,1.014899,65.26111
1.788376331,84.98361,0.9998974,65.26111
1.793306351,83.80595,1.008056,65.26111
1.798236370,82.64191,0.9997607,65.26111
1.803166866,81.29454,1.005786,65.26111
1.808096886,79.96762,1.005209,65.26111
1.813026905,78.33868,0.9976807,65.62054
1.817956924,76.5518,1.005451,65.62054
1.822886944,74.92303,1.014442,65.62054
1.827817440,73.48463,1.008114,65.62054
1.832747459,71.8461,1.010442,65.62054
1.837677479,70.19139,1.006406,65.62054
1.842607975,68.58904,1.009727,65.62054
1.847537994,67.18029,1.009628,65.62054
1.852468014,65.52003,1.007048,65.62054
1.857397556,63.87498,1.001266,65.62054
1.862327576,62.14173,1.012336,65.11295
1.867258549,60.23136,1.004402,65.11295
1.872188091,58.73019,1.010408,65.11295
1.877118111,56.87695,1.012741,65.11295
1.882048130,55.02602,1.009084,65.11295
1.886978626,53.28725,1.002844,65.11295
1.891908646,51.51776,1.008652,65.11295
1.899303913,48.61837,1.002899,65.11295
1.904233932,46.79757,1.002328,65.11295
1.909163952,44.67208,1.001184,64.69325
1.914094448,42.80443,1.004634,64.69325
1.919024467,40.40672,1.007878,64.69325
1.923954487,38.10286,1.005715,64.69325
1.928884506,35.63961,1.007979,64.69325
1.933811188,33.09834,1.013773,64.69325
1.938740730,30.33697,1.012715,64.69325
1.943670750,27.06084,1.001809,64.69325
1.948600769,23.97811,1.006815,64.69325
1.953531265,20.58159,1.007284,64.69325
1.958464622,17.13491,1.011835,65.17525
1.963391304,13.48537,1.004711,65.17525
1.968321800,9.900438,1.008822,65.17525
1.973251343,6.473295,1.005461,65.17525
1.978181839,2.961084,1.005057,65.17525
1.983111858,0.2574037,1.011284,65.17525
1.988041878,1.756509,1.00044,65.17525
1.992971897,2.41144,0.9920614,65.17525
1.997902393,2.17809,1.012189,65.17525
2.002832413,1.246683,1.019037,65.17525
2.007762432,0.3295401,1.013314,65.11005
2.012692928,0.2642075,1.014412,65.11005
2.017622948,0.368233,1.00507,65.11005
2.022552967,0.5388169,0.9897508,65.11005
2.027482986,1.058613,0.9937875,65.11005
2.032412529,1.400275,1.004537,65.11005
2.037343502,1.866474,1.007249,65.11005
2.042273045,1.789256,1.013515,65.11005
2.047203064,1.340375,1.012374,65.11005
2.160595894,0.08428491,1.006117,64.6151
2.165522099,0.2579615,1.009458,64.6151
2.167987347,0.1112201,1.013945,64.6151
2.172917366,0.06180199,1.0035,64.6151
2.177847862,0.05397001,1.003764,64.6151
2.182777405,0.07656254,1.002002,64.6151
2.187707901,0.1564246,1.000308,64.6151
2.192637920,0.1354313,1.001293,64.6151
2.197567940,0.2682992,1.000156,64.6151
2.202497482,0.1638395,1.007518,65.48378
2.207428455,0.1128284,1.014868,65.48378
2.212358475,0.184735,1.005909,65.48378
2.217288017,0.1228878,1.004289,65.48378
2.222218037,0.1708805,1.006353,65.48378
2.227149010,0.118418,1.003535,65.48378
2.232078552,0.1128284,1.001911,65.48378
2.237008571,0.1249228,1.008837,65.48378
2.241938591,0.1110011,1.005788,65.48378
2.249333858,0.1529381,1.006428,65.48378
2.254264355,0.118418,1.013969,65.0527
2.259194374,0.206805,1.008596,65.0527
2.264124393,0.1102377,1.00119,65.0527
2.269054413,0.09473336,1.005779,65.0527
2.273984909,0.1672061,1.005134,65.0527
2.278914928,0.1607896,1.001911,65.0527
2.283844948,0.07762312,1.008011,65.0527
2.288774967,0.2211228,1.014011,65.0527
2.293705463,0.1616714,1.002128,65.0527
2.298635483,0.1102377,1.005433,65.0527
2.303565502,0.1354313,1.003458,65.04906
2.308495521,0.08885838,1.001644,65.04906
2.313426018,0.06317721,1.009271,65.04906
2.318356037,0.178891,1.004558,65.04906
2.323286056,0.2555439,1.003924,65.04906
2.328215599,0.1685765,1.01508,65.04906
2.333145618,0.05397001,1.001102,65.04906
2.338076591,0.1690834,1.00315,65.04906
2.343006134,0.07656254,1.008771,65.04906
2.347936153,0.1054883,1.004459,65.11005
2.352867126,0.1313889,1.004079,65.11005
2.357796669,0.05397001,1.007745,65.11005
2.362725258,0.1133194,1.005905,65.11005
2.367652893,0.206805,1.006614,65.11005
2.372582912,0.1788304,1.01033,65.11005
2.377513409,0.1102377,1.006487,65.11005
2.382443428,0.1022291,0.9999203,65.11005
2.387373447,0.08428491,1.005569,65.11005
2.392308712,0.1228878,1.009414,65.11005
2.397233963,0.2175512,0.9992656,65.0527
2.402163982,0.1198482,1.003825,65.0527
2.407094478,0.04414774,1.009849,65.0527
2.412023544,0.1102377,1.000285,65.0527
2.416954517,0.1611346,0.9993759,65.0527
2.421884060,0.118418,1.003131,65.0527
2.429279327,0.08703633,1.006356,65.0527
2.434209347,0.178891,1.007153,65.0527
2.439139366,0.1979787,1.004469,65.0527
2.444069862,0.1796236,1.005313,65.0527
2.448999882,0.07762312,1.008412,64.99455
2.453929901,0.2222774,1.00673,64.99455
2.458859920,0.1690834,1.000021,64.99455
2.463790417,0.1054883,1.001296,64.99455
2.468720436,0.1355638,1.002495,64.99455
2.473650455,0.1751965,1.00904,64.99455
2.478580475,0.145712,1.007618,64.99455
2.483510971,0.1112201,1.007565,64.99455
2.488440990,0.1849743,1.000873,64.99455
2.493371010,0.3099597,1.009471,64.99455
2.498301029,0.1189557,1.003999,65.0527
2.503231525,0.1757888,1.006226,65.0527
2.508161545,0.194656,1.005324,65.0527
2.513091564,0.206805,1.007279,65.0527
2.518021107,0.06180199,1.001353,65.0527
2.522952080,0.08060227,1.011927,65.0527
2.527882099,0.1448541,1.002128,65.0527
2.532811642,0.1849743,1.009553,65.0527
2.537741661,0.09531764,1.011873,65.0527
2.542672157,0.1988167,1.000278,65.0527
2.547602177,0.08885838,1.004418,65.17525
2.552532196,0.08703633,1.004511,65.17525
2.557462215,0.2012016,0.999685,65.17525
2.562388897,0.1767554,1.002607,65.17525
2.567318916,0.1400706,1.007486,65.17525
2.572248936,0.04414774,1.004704,65.17525
2.577178955,0.1228878,1.007691,65.17525
2.582108498,0.2277329,1.007592,65.17525
2.587039471,0.08703633,1.003508,65.17525
2.591969013,0.2285243,1.010296,65.17525
2.596899032,0.2171806,1.011615,65.17239
2.601834297,0.1540481,1.007047,65.17239
2.609224319,0.1333366,1.000802,65.17239
2.614154816,0.1827596,1.007951,65.17239
2.619084835,0.1267954,1.003468,65.17239
2.624014854,0.1529381,1.003995,65.17239
2.628944874,0.02950298,1.005552,65.17239
2.633875370,0.1128284,1.004762,65.17239
2.638805389,0.2653272,1.00216,65.17239
2.643735409,0.1100369,1.005823,64.80402
2.648665428,0.1607896,1.002122,64.80402
2.653595924,0.2533657,1.001697,64.80402
2.658525944,0.1654056,1.007607,64.80402
2.663455963,0.1939417,1.010023,64.80402
