Time (s),Power (dBm),Percentage (%)
0.081025600,-35,100
0.581007004,-35,100
1.080886841,-37,100
1.580911636,-39,100
2.164638519,-35,100
2.581029415,-37,100
3.080971241,-35,100
3.580921650,-35,100
4.080797195,-37,100
4.580815315,-33,100
5.080988884,-41,100
5.580952644,-35,100
6.080875874,-41,100
6.580862522,-41,100
7.080712318,-41,100
7.580723762,-41,100
8.080904961,-43,100
8.580935478,-43,100
9.080687523,-35,100
9.580738544,-35,100
10.080712318,-39,100
10.580629825,-45,100
11.080734253,-37,100
11.580868721,-43,100
12.080622673,-47,100
12.601232529,-35,100
13.080533505,-39,100
13.580537319,-37,100
14.080696106,-43,100
14.580648899,-37,100
15.080514908,-39,100
15.580576420,-37,100
16.080521584,-37,100
16.580422401,-35,100
17.080638409,-43,100
17.580650329,-41,100
18.080411434,-41,100
18.580471516,-41,100
19.080395222,-35,100
19.580375671,-39,100
20.080493450,-37,100
20.580616474,-37,100
21.080421448,-41,100
21.580314636,-37,100
22.080319881,-35,100
22.595920086,-35,100
23.080471993,-39,100
23.580264091,-37,100
24.080298901,-39,100
24.682134628,-37,100
25.126235962,-39,100
25.598157406,-39,100
26.155962944,-35,100
26.639910698,-39,100
27.080221653,-41,100
27.580183506,-39,100
28.080098152,-37,100
28.580126285,-37,100
29.112874508,-33,100
29.580346584,-37,100
30.080060005,-37,100
30.580105781,-37,100
31.080014229,-43,100
31.580036163,-39,100
32.080206394,-37,100
32.580031395,-33,100
33.080049515,-39,100
33.580056667,-35,100
34.079991341,-35,100
34.579905987,-35,100
35.080139637,-37,100
35.601610184,-35,100
36.079889298,-33,100
36.579934597,-37,100
37.079887867,-37,100
37.579818249,-41,100
38.080029964,-43,100
38.579826355,-45,100
39.079891682,-37,100
39.579841137,-43,100
40.079795837,-39,100
40.580424309,-39,100
41.080668449,-37,100
41.580715179,-35,100
42.080440044,-37,100
42.580465317,-43,100
43.080420494,-39,100
43.580355644,-41,100
44.080569267,-47,100
44.623820782,-45,100
45.166340351,-41,100
45.650470257,-41,100
46.080344677,-41,100
46.580273151,-39,100
47.080376148,-38,100
47.612315655,-37,100
48.080347061,-39,100
48.580274105,-39,100
49.080197811,-41,100
49.580244541,-35,100
50.156559467,-37,100
50.580455303,-39,100
51.080255032,-39,100
51.580161095,-41,100
52.201899052,-37,100
52.580137253,-41,100
53.107120037,-41,100
53.580359936,-37,100
54.080202580,-33,100
54.580008507,-37,100
55.080058575,-39,100
55.580085754,-39,100
56.080207825,-37,100
56.580268383,-41,100
57.080070496,-39,100
57.590741634,-39,100
58.079939365,-39,100
58.579869270,-39,100
59.080080986,-37,100
59.660950661,-39,100
60.079915524,-41,100
60.579953670,-41,100
61.079915524,-37,100
61.579810142,-41,100
62.079982758,-35,100
62.580055714,-37,100
63.079788208,-37,100
63.579842091,-37,100
64.079763889,-35,100
64.579760075,-35,100
65.079945087,-37,100
65.579853535,-35,100
66.119730473,-39,100
66.579747200,-37,100
67.079710960,-37,100
67.579663753,-39,100
68.079684258,-41,100
68.579842567,-39,100
69.079734325,-39,100
69.579644680,-35,100
70.079606533,-39,100
70.579565048,-37,100
71.099364758,-37,100
71.646418095,-35,100
72.086948872,-35,100
72.579518795,-37,100
73.079567909,-41,100
73.579501152,-37,100
74.104683876,-37,100
