Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.446679115,46.076,33.112
1.446630955,46.034,33.112
2.446582317,46.084,33.112
3.446534634,46.142,33.114
4.446485996,46.086,33.114
5.446438313,46.1,33.116
6.446390152,46.102,33.116
7.446342468,46.11,33.116
8.446294785,46.142,33.116
9.446246624,46.112,33.118
10.446202278,46.152,33.118
11.446151734,46.11,33.118
12.446109772,46.148,33.118
13.446057320,46.152,33.12
14.446010113,46.118,33.12
15.445963860,46.112,33.12
16.445916653,46.128,33.122
17.445872307,46.114,33.122
18.445828438,46.16,33.122
19.445776463,46.17,33.124
20.445729733,46.172,33.124
21.445688725,46.194,33.124
22.445636749,46.134,33.126
23.445590973,46.186,33.126
24.445549965,46.174,33.126
25.445498943,46.17,33.128
26.445453167,46.162,33.128
27.445407868,46.19,33.13
28.445362091,46.174,33.13
29.445316792,46.17,33.13
30.445274830,46.19,33.132
31.445225716,46.198,33.132
32.445180416,46.142,33.134
33.445135594,46.212,33.134
34.445090294,46.208,33.134
35.445044994,46.138,33.136
36.447538376,46.162,33.136
37.447494030,46.248,33.138
38.447449684,46.174,33.138
39.447404862,46.198,33.138
40.447360516,46.208,33.14
41.447316170,46.206,33.14
42.447272301,46.182,33.14
43.447227955,46.23,33.142
44.447184086,46.218,33.142
45.447140217,46.204,33.144
46.447096348,46.21,33.144
47.447052956,46.244,33.146
48.447009087,46.272,33.146
49.446966171,46.238,33.146
50.446922302,46.234,33.148
51.446878910,46.262,33.148
52.446835995,46.248,33.148
53.446792603,46.248,33.15
54.446749687,46.238,33.15
55.446706295,46.27,33.15
56.446663380,46.226,33.15
57.446620941,46.262,33.152
58.446577549,46.236,33.152
59.446534634,46.236,33.152
60.446491718,46.274,33.152
61.446449280,46.268,33.152
62.446406365,46.274,33.154
63.446363926,46.266,33.154
64.446324825,46.302,33.154
65.446278572,46.328,33.154
66.446235657,46.26,33.154
67.446193218,46.29,33.154
68.446150780,46.298,33.154
69.446107864,46.276,33.156
70.446067810,46.276,33.156
71.446023941,46.284,33.156
72.445985794,46.256,33.156
73.445938587,46.272,33.158
74.445896149,46.31,33.158
75.445854664,46.306,33.158
76.445811749,46.308,33.158
77.445769310,46.29,33.158
78.445727825,46.336,33.158
79.445684910,46.34,33.158
80.445643425,46.308,33.158
81.445600987,46.31,33.158
82.445559025,46.304,33.158
83.445517063,46.298,33.158
84.445474625,46.31,33.158
85.445432663,46.296,33.158
86.445390701,46.318,33.16
87.445349217,46.306,33.16
88.445307255,46.344,33.16
89.445265293,46.242,33.16
90.445226193,46.296,33.162
91.445181847,46.26,33.162
92.445139885,46.28,33.162
93.445098877,46.284,33.162
94.445056915,46.282,33.164
95.445015907,46.344,33.164
96.444974423,46.296,33.164
97.444932938,46.3,33.164
98.444896221,46.296,33.164
99.444849968,46.292,33.166
100.444808483,46.348,33.166
101.444767475,46.344,33.166
102.444726467,46.314,33.166
103.444685936,46.366,33.166
104.444644451,46.326,33.168
105.444603443,46.328,33.168
106.447101116,46.338,33.168
107.447059631,46.348,33.168
108.447019100,46.378,33.17
109.446978569,46.35,33.17
110.446938038,46.326,33.17
111.446897984,46.378,33.17
112.446858406,46.34,33.17
113.446816921,46.35,33.172
114.446776867,46.358,33.172
115.446736336,46.34,33.172
116.446696758,46.34,33.174
117.446656704,46.384,33.174
118.446617127,46.398,33.176
119.446577549,46.402,33.176
120.446537972,46.338,33.176
121.446498871,46.404,33.178
