Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.375891209,88.05859,183.84375,3.99375,291.5625,0
1.430737019,88.05859,184.03125,3.99375,278.4375,0
2.309906483,88.04688,184.125,3.99375,288.4375,0
3.365011215,88.03516,183.75,3.99375,296.875,0
4.419246674,88.03516,183.65625,3.9975,291.875,0
5.298316956,88.02344,183.9375,3.99875,284.375,0
6.353063107,88.01172,183.5625,3.995,291.25,0
7.407827854,88.01172,183.65625,3.990625,272.8125,0
8.286832333,88,183.65625,3.996875,282.5,0
9.341722965,88,183.09375,3.996875,285.625,0
10.396382809,87.98828,183,3.993125,292.1875,0
11.275669575,87.97266,182.71875,3.99625,280.9375,0
12.330192089,87.97266,182.0625,3.9925,302.5,0
13.384935856,87.96094,182.25,3.994375,283.4375,0
14.440093041,87.94922,182.625,3.996875,266.875,0
15.318883896,87.94922,182.34375,3.996875,271.25,0
16.373689652,87.9375,182.25,3.989375,293.4375,0
17.428362846,87.92578,182.0625,3.995625,301.25,0
18.307335377,87.92578,182.15625,3.99625,302.5,0
19.362177849,87.91406,182.625,3.99375,274.0625,0
20.417012215,87.90234,182.4375,3.996875,335,0
21.295952320,87.90234,182.53125,3.996875,279.6875,0
22.350851059,87.89063,182.0625,3.991875,341.5625,0
23.405816555,87.875,181.3125,3.995,297.5,0
24.284758568,87.875,181.03125,3.995,284.0625,0
25.339698792,87.86328,181.59375,3.9975,280.9375,0
26.394148827,87.85156,181.875,3.99625,281.25,0
27.448843002,87.85156,181.5,3.994375,305,0
28.327996731,87.83984,181.96875,3.993125,287.1875,0
29.382635117,87.82813,182.34375,3.995625,276.875,0
30.437492371,87.82813,181.6875,3.995625,335.9375,0
31.316592693,87.81641,181.96875,3.998125,277.1875,0
32.371198654,87.80469,181.96875,3.993125,328.125,0
33.426189423,87.80469,181.5,3.993125,295.9375,0
34.305367947,87.79297,181.59375,3.993125,299.0625,0
35.359819889,87.77734,181.96875,3.99625,287.1875,0
36.414717674,87.77734,181.6875,3.99375,280.625,0
37.293618679,87.76563,181.59375,3.9925,270,0
38.348473072,87.75391,181.78125,3.99125,282.5,0
39.403324127,87.75391,181.5,3.995,301.5625,0
40.282211304,87.74219,181.78125,3.994375,290.9375,0
41.337094307,87.74219,181.78125,3.99375,292.8125,0
42.391747952,87.73047,181.875,3.99625,284.6875,0
43.446681976,87.71875,181.96875,3.995,265.3125,0
44.325887680,87.71875,181.78125,3.994375,332.5,0
45.380496502,87.70703,181.875,3.993125,287.1875,0
46.435712814,87.69531,181.875,3.993125,299.6875,0
47.314896584,87.69531,181.96875,3.991875,294.6875,0
48.369042397,87.67969,182.53125,3.993125,273.125,0
49.423760414,87.66797,182.8125,3.993125,286.25,0
50.302724838,87.66797,182.90625,3.995,280.3125,0
51.357590199,87.65625,183,3.995,295.625,0
52.412288189,87.64453,182.53125,3.9925,283.75,0
53.291384697,87.64453,182.4375,3.995625,288.75,0
54.346068859,87.63281,182.71875,3.995,277.8125,0
55.401086807,87.62109,182.8125,3.993125,297.8125,0
56.279960632,87.62109,182.15625,3.990625,275.9375,0
57.334636211,87.60938,181.875,3.99125,285.3125,0
58.389824867,87.59766,182.25,3.9925,284.375,0
59.444530010,87.59766,182.0625,3.993125,279.6875,0
60.323248863,87.58203,181.96875,3.99625,324.375,0
61.378025055,87.57031,182.25,3.99125,282.5,0
62.432876587,87.57031,181.875,3.991875,297.8125,0
63.312022686,87.55859,181.3125,3.991875,302.5,0
64.366724968,87.55859,181.40625,3.99125,290.3125,0
65.421390057,87.54688,181.59375,3.9925,295.625,0
66.300529957,87.53516,181.875,3.993125,280,0
67.355354309,87.53516,182.15625,3.99375,323.75,0
68.410058975,87.52344,182.71875,3.993125,275,0
69.289522648,87.51172,182.53125,3.991875,296.5625,0
70.343878269,87.51172,182.15625,3.99125,297.1875,0
71.398604870,87.5,182.0625,3.988125,289.375,0
72.277649880,87.48438,182.53125,3.99375,278.125,0
73.332321644,87.48438,182.625,3.991875,269.0625,0
74.387158871,87.47266,182.25,3.99125,303.125,0
75.442038536,87.46094,181.875,3.991875,299.375,0
76.320952892,87.46094,182.0625,3.99,295.625,0
77.375708103,87.44922,182.34375,3.995,282.1875,0
78.430512428,87.4375,182.625,3.990625,322.5,0
79.309663296,87.4375,181.96875,3.991875,280.3125,0
80.364604473,87.42578,181.96875,3.990625,300.9375,0
81.419488430,87.41406,182.15625,3.993125,290.625,0
82.298066616,87.41406,181.6875,3.990625,290.9375,0
83.352921963,87.40234,181.96875,3.990625,267.5,0
84.407639504,87.38672,181.3125,3.991875,333.4375,0
85.286691189,87.38672,181.5,3.98625,275,0
86.341416836,87.375,181.59375,3.989375,288.125,0
87.396361351,87.375,182.0625,3.99125,275,0
88.275430679,87.36328,182.15625,3.993125,284.375,0
89.330145359,87.35156,182.15625,3.990625,274.6875,0
90.385104656,87.35156,181.3125,3.99375,346.25,0
91.439607144,87.33984,180.84375,3.989375,292.8125,0
92.318590641,87.32813,180.5625,3.989375,292.8125,0
93.373554707,87.32813,180.84375,3.990625,280.3125,0
94.428179741,87.31641,181.03125,3.989375,269.0625,0
95.307306290,87.30469,181.03125,3.9875,276.5625,0
