Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.2583507,0.9004251,0.2913431,-0.02057128,0.9863115,0.1612553,-5.444502,-29.25961,-21.81115,1009.295
0.005078316,0.3202126,0.9004251,0.2913431,-0.02503654,0.9900696,0.1516894,-5.444502,-29.25961,-21.81115,1009.295
0.010151863,0.4439363,1.078892,0.2303362,-0.02458605,0.992552,0.156958,-5.444502,-29.25961,-21.81115,1009.295
0.015227795,0.5057981,1.673781,0.5353707,-0.02028839,0.997003,0.1574298,-5.444502,-29.25961,-21.81115,1009.295
0.020305157,0.4439363,1.435826,0.5353707,-0.02985979,0.9885995,0.1598413,-5.444502,-29.25961,-21.81115,1009.295
0.025379658,0.3202126,1.792759,0.5353707,-0.02643476,0.9876866,0.1612696,-5.444502,-29.25961,-21.81115,1009.295
0.030455589,0.4439363,1.852248,0.5353707,-0.02840064,0.988621,0.1598379,-5.444502,-29.25961,-21.81115,1009.295
0.035531521,0.3820744,1.852248,0.6573845,-0.03335977,0.9939209,0.1617683,-5.444502,-29.25961,-21.81115,1009.295
0.040607452,0.3820744,2.090204,0.6573845,-0.02850407,0.9944832,0.1622364,-5.833281,-28.8854,-22.72852,1009.295
0.045683384,0.1964888,1.852248,0.5963776,-0.03186809,0.9925072,0.1651165,-5.833281,-28.8854,-22.72852,1009.295
0.050758839,0.3202126,1.911737,0.7183915,-0.03195274,0.9968717,0.1627248,-5.833281,-28.8854,-22.72852,1009.295
0.055834770,0.2583507,2.149693,0.9014122,-0.03249447,0.999779,0.16177,-5.833281,-28.8854,-22.72852,1009.295
0.060915470,0.2583507,2.209182,0.7793984,-0.03531023,0.9943977,0.1641677,-5.833281,-28.8854,-22.72852,1009.295
0.065986633,-0.05095861,2.090204,0.6573845,-0.03924109,0.9957427,0.1565148,-5.833281,-28.8854,-22.72852,1009.295
0.071062565,0.01090325,2.209182,0.6573845,-0.03814059,0.9894776,0.1632134,-5.833281,-28.8854,-22.72852,1009.295
0.076138496,0.134627,2.149693,0.5353707,-0.04061649,0.9918804,0.1636995,-5.833281,-28.8854,-22.72852,1009.297
0.081214428,0.01090325,2.030715,0.7183915,-0.03966567,0.9928502,0.1613033,-5.833281,-28.8854,-22.72852,1009.297
0.086290360,-0.1128205,1.852248,0.5353707,-0.04216924,0.9967104,0.1613114,-5.059944,-29.26261,-21.80837,1009.297
0.091366291,-0.05095861,1.911737,0.4743638,-0.03903276,0.9850804,0.1632127,-5.059944,-29.26261,-21.80837,1009.297
0.096442223,-0.1746823,1.554803,0.5963776,-0.03769972,0.9913886,0.1574664,-5.059944,-29.26261,-21.80837,1009.297
0.101517677,-0.05095861,1.911737,0.4133569,-0.03673194,0.9924356,0.1651276,-5.059944,-29.26261,-21.80837,1009.297
0.106593609,-0.1128205,1.792759,0.5353707,-0.03714257,0.9880236,0.1622523,-5.059944,-29.26261,-21.80837,1009.297
0.111669540,-0.2984061,1.435826,0.4743638,-0.03671557,0.9909269,0.1589006,-5.059944,-29.26261,-21.80837,1009.297
0.116745472,-0.1746823,1.435826,0.4743638,-0.03479125,0.9924423,0.1622497,-5.059944,-29.26261,-21.80837,1009.297
0.121821404,-0.2984061,0.959914,0.35235,-0.04250586,0.9889408,0.1651388,-5.059944,-29.26261,-21.80837,1009.297
0.126897335,-0.2365442,0.8409361,0.2913431,-0.0440203,0.9913066,0.1589177,-5.059944,-29.26261,-21.80837,1009.297
0.131973743,-0.4221298,0.6624693,0.1083223,-0.04541683,0.9884036,0.1641873,-5.059944,-29.26261,-21.80837,1009.297
0.137049675,-0.2365442,0.7219583,0.2913431,-0.04344934,0.9874766,0.1665768,-5.062059,-28.88643,-22.26854,1009.297
0.142125607,-0.3602679,0.3055357,0.1693292,-0.04204466,0.989889,0.160828,-5.062059,-28.88643,-22.26854,1009.297
0.147201538,-0.2984061,0.2460468,0.2303362,-0.03908399,0.9874859,0.1593829,-5.062059,-28.88643,-22.26854,1009.297
0.152276516,-0.3602679,0.127069,0.0473154,-0.03723543,0.9934061,0.1656083,-5.062059,-28.88643,-22.26854,1009.297
0.157355785,-0.4839917,0.127069,0.1083223,-0.03825613,0.9952847,0.158428,-5.062059,-28.88643,-22.26854,1009.297
0.159890652,-0.4839917,-0.1108868,0.0473154,-0.0376639,0.9894406,0.1574651,-5.062059,-28.88643,-22.26854,1009.297
0.164966583,-0.05095861,-0.2298646,-0.07469842,-0.04002505,0.9860327,0.1622577,-5.062059,-28.88643,-22.26854,1009.297
0.170042515,-0.1128205,-0.3488426,-0.1357053,-0.04009105,0.9899543,0.1656128,-5.062059,-28.88643,-22.26854,1009.297
0.175118446,-0.1746823,-0.2893536,-0.1967122,-0.03822934,0.9943511,0.1636955,-5.062059,-28.88643,-22.26854,1009.297
0.180198669,-0.1746823,-0.4083315,-0.1357053,-0.03371915,0.9871033,0.1627228,-5.062059,-28.88643,-22.26854,1009.297
0.185270309,-0.2365442,-0.6462872,-0.379733,-0.03769164,0.9914254,0.1622557,-5.059956,-28.88145,-21.81412,1009.297
0.190346241,-0.1128205,-0.5867983,-0.5017468,-0.03220053,0.9837012,0.1608015,-5.059956,-28.88145,-21.81412,1009.297
0.195422173,-0.05095861,-0.8247541,-0.4407399,-0.02983703,0.9876475,0.1627142,-5.059956,-28.88145,-21.81412,1009.297
0.200498581,-0.1128205,-0.6462872,-0.5017468,-0.03382582,0.9929509,0.1632056,-5.059956,-28.88145,-21.81412,1009.297
0.205573559,-0.2984061,-0.6462872,-0.3187261,-0.03241145,0.9954072,0.1632039,-5.059956,-28.88145,-21.81412,1009.297
0.210649490,-0.3602679,-0.765265,-0.5627537,-0.03278955,0.9895599,0.16368,-5.059956,-28.88145,-21.81412,1009.297
0.215725422,-0.3602679,-0.7057762,-0.5017468,-0.03377209,0.990029,0.1632037,-5.059956,-28.88145,-21.81412,1009.297
0.220801354,0.01090325,-0.8247541,-0.5017468,-0.03472297,0.9895864,0.1708684,-5.059956,-28.88145,-21.81412,1009.297
0.225877762,-0.2365442,-0.6462872,-0.5627537,-0.02749636,0.9930732,0.1670225,-5.059956,-28.88145,-21.81412,1009.297
0.230953693,-0.4221298,-0.4678204,-0.3187261,-0.02835431,0.9867207,0.1660627,-5.446617,-28.88343,-22.27132,1009.297
0.236029625,-0.3602679,-0.4083315,-0.5627537,-0.02598354,0.9907002,0.1722857,-5.446617,-28.88343,-22.27132,1009.297
0.241105557,-0.1746823,-0.5273094,-0.379733,-0.02739292,0.987211,0.164624,-5.446617,-28.88343,-22.27132,1009.297
