Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.220801354,0.0215203,-0.09078753,0.9921715,0.8775823,0.4685045,0.02116072,-0.4716948,0.8731301,0.08835676
0.225877762,0.0215759,-0.09081006,0.9921684,0.877564,0.468541,0.02112633,-0.4717267,0.8731084,0.08840224
0.230953693,0.0216257,-0.09084356,0.9921641,0.8775478,0.4685723,0.02110165,-0.4717541,0.8730881,0.08845466
0.236029625,0.02167326,-0.09088242,0.9921594,0.8775291,0.4686081,0.02108192,-0.4717865,0.8730648,0.0885106
0.241105557,0.02171932,-0.09090248,0.992156,0.8775165,0.4686319,0.02105308,-0.4718069,0.8730493,0.08854944
0.246181488,0.02176091,-0.09091428,0.992154,0.8775015,0.4686613,0.02102506,-0.4718328,0.8730323,0.08857888
0.251256466,0.02179083,-0.09090471,0.9921541,0.8774925,0.4686791,0.02099591,-0.4718477,0.8730237,0.0885843
0.256332874,0.02182055,-0.09089789,0.9921542,0.8774852,0.4686947,0.02096817,-0.4718603,0.8730162,0.08859214
0.261408806,0.02183974,-0.09089088,0.9921541,0.8774758,0.4687123,0.02094951,-0.4718763,0.8730072,0.08859456
0.266484737,0.02183306,-0.09086511,0.9921569,0.8774675,0.4687284,0.02094495,-0.4718924,0.8730015,0.08856842
0.271563053,0.02182226,-0.09084487,0.9921588,0.877464,0.4687343,0.02094528,-0.4718991,0.873,0.08854526
0.276636601,0.02179956,-0.0908246,0.9921613,0.8774567,0.4687478,0.02095723,-0.4719141,0.8729951,0.08851638
0.281712532,0.02176079,-0.09080169,0.9921645,0.8774502,0.4687589,0.02098173,-0.4719283,0.8729916,0.08847758
0.286791325,0.02171449,-0.0907867,0.992167,0.877441,0.4687743,0.0210171,-0.4719478,0.8729846,0.08844194
0.291864395,0.02165902,-0.09077752,0.992169,0.8774378,0.4687775,0.02106196,-0.4719562,0.8729835,0.08840731
0.296940327,0.0215832,-0.0907473,0.9921739,0.8774474,0.4687583,0.02111274,-0.471943,0.8729975,0.08834529
0.302015781,0.02149792,-0.09072757,0.9921778,0.8774502,0.4687503,0.02117789,-0.4719424,0.8730039,0.08828753
0.307095051,0.02138966,-0.09072736,0.9921806,0.8774626,0.4687228,0.02127063,-0.4719248,0.8730187,0.08823654
0.312167645,0.02126966,-0.09071872,0.9921843,0.8774685,0.4687074,0.02137095,-0.4719203,0.8730279,0.0881722
0.317243576,0.02115639,-0.0907048,0.9921882,0.8774794,0.4686825,0.02146176,-0.4719055,0.8730426,0.0881066
0.322319508,0.02105367,-0.09070185,0.992191,0.8774906,0.4686574,0.02154851,-0.4718897,0.8730564,0.08805573
0.327395439,0.02093872,-0.0906879,0.9921954,0.8774993,0.4686378,0.02164167,-0.4718801,0.8730689,0.08798945
