Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.235104561,0.5080897,-1.757064,-0.5722616,-0.02897585,0.9940147,0.1655897,-6.598192,-28.86944,-21.82527,1009.18
0.240180016,0.1985973,-1.993897,-0.4499457,-0.02609982,0.9959762,0.1617529,-6.598192,-28.86944,-21.82527,1009.18
0.245255947,0.1984337,-1.754726,-0.3886561,-0.02561432,0.996507,0.1665413,-6.598192,-28.86944,-21.82527,1009.18
0.250331879,0.2601514,-1.753623,-0.510445,-0.02935879,0.9881454,0.1631923,-6.598192,-28.86944,-21.82527,1009.18
0.255407333,0.07442182,-1.752559,-0.3880913,-0.02610628,0.9959468,0.1579215,-6.598192,-28.86944,-21.82527,1009.18
0.260483265,0.2599218,-1.63248,-0.3268789,-0.02363127,0.9940677,0.162225,-6.598192,-28.86944,-21.82527,1009.18
0.265559197,0.07423121,-1.512552,-0.3876421,-0.02795088,0.9905724,0.1593592,-6.598192,-28.86944,-21.82527,1009.18
0.270635128,-0.0495197,-1.273721,-0.3263917,-0.02559553,0.9950094,0.1617511,-6.598192,-28.86944,-21.82527,1009.18
0.275711060,0.01237327,-1.213431,-0.2651797,-0.02453231,0.9896301,0.1569561,-6.598192,-28.86944,-21.82527,1009.18
0.280786514,0.3834783,-0.8557728,-0.2040254,-0.02796065,0.9910557,0.1588806,-6.598181,-29.2506,-21.81951,1009.18
0.285862446,0.1977102,-0.6768057,-0.08186424,-0.02600938,0.9905826,0.1569601,-6.598181,-29.2506,-21.81951,1009.18
0.290938377,0.07386224,-0.7358695,-0.08181281,-0.02557512,0.993519,0.1579188,-6.598181,-29.2506,-21.81951,1009.18
0.296014309,0.07385471,-0.2001376,-0.08179975,-0.03043493,0.9934658,0.1603245,-6.598181,-29.2506,-21.81951,1009.18
0.301089764,-0.04989598,-0.2000119,0.162241,-0.02794993,0.9895213,0.1493011,-6.598181,-29.2506,-21.81951,1009.18
0.306165695,0.1975439,-0.02143814,0.1011896,-0.03187529,0.9919468,0.1555377,-6.598181,-29.2506,-21.81951,1009.18
0.311241627,0.01185369,0.3949418,0.2230824,-0.03285782,0.9924157,0.1550613,-6.598181,-29.2506,-21.81951,1009.18
0.316317558,0.07366924,0.2162642,0.28393,-0.03325061,0.9875571,0.1574538,-6.598181,-29.2506,-21.81951,1009.18
0.321392536,0.01174166,0.6324949,0.1007692,-0.03438055,0.9963269,0.1598565,-6.598181,-29.2506,-21.81951,1009.18
0.326470852,-0.2975362,0.8104896,0.1616937,-0.02933266,0.9861533,0.1574439,-6.598181,-29.2506,-21.81951,1009.18
0.331544876,-0.2355262,1.226347,0.2835868,-0.03099868,0.9978563,0.1622443,-7.367321,-28.48229,-21.83659,1009.18
0.336620808,-0.1735164,1.166144,0.1003687,-0.03627066,0.9928563,0.1555484,-7.367321,-28.48229,-21.83659,1009.18
0.341695786,-0.3588764,1.4628,0.2833072,-0.03530274,0.9928486,0.1526726,-7.367321,-28.48229,-21.83659,1009.18
0.346771717,-0.4823552,1.52137,0.2221415,-0.03579654,0.9938631,0.1589004,-7.367321,-28.48229,-21.83659,1009.18
0.351847649,-0.6057371,1.758295,0.283028,-0.0338485,0.9933754,0.1550642,-7.367321,-28.48229,-21.83659,1009.18
0.356924057,-0.5435336,1.816735,0.2218625,-0.03772174,0.9928716,0.1603409,-7.367321,-28.48229,-21.83659,1009.18
0.361999035,-0.4813302,2.172453,0.4656741,-0.03808751,0.9854972,0.1521955,-7.367321,-28.48229,-21.83659,1009.18
0.367074967,-0.4191854,2.05211,0.4653624,-0.03329531,0.9894646,0.1521869,-7.367321,-28.48229,-21.83659,1009.18
0.372150898,-0.3570991,2.348266,0.4041014,-0.04052774,0.9870068,0.1632173,-7.367321,-28.48229,-21.83659,1009.18
0.377226830,-0.1713086,2.346865,0.3428406,-0.04597795,0.9912229,0.1517383,-6.98275,-28.86644,-21.82805,1009.18
0.382302284,-0.2949052,2.226413,0.6476215,-0.04443907,0.9873852,0.1565216,-6.98275,-28.86644,-21.82805,1009.18
0.387378216,-0.1709768,2.106018,0.586246,-0.04496128,0.9893259,0.156524,-6.98275,-28.86644,-21.82805,1009.18
0.389916420,-0.04719938,2.164845,0.6470688,-0.04636501,0.9858626,0.1522148,-6.98275,-28.86644,-21.82805,1009.18
0.394992352,-0.04713086,2.044544,0.7686953,-0.04942669,0.9941388,0.1574951,-6.98275,-28.86644,-21.82805,1009.18
0.400073052,0.1384066,1.924357,0.829181,-0.04652218,0.9946467,0.1546152,-6.98275,-28.86644,-21.82805,1009.18
0.405143261,-0.04724651,1.744719,0.8286792,-0.05413336,0.9852831,0.1551059,-6.98275,-28.86644,-21.82805,1009.18
0.410219669,0.0765069,1.803055,0.5841309,-0.05330227,0.9930966,0.1560666,-6.98275,-28.86644,-21.82805,1009.18
0.415295601,0.1382818,1.564004,0.644771,-0.05269212,0.9862785,0.1551032,-6.98275,-28.86644,-21.82805,1009.18
