Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.740146637,1.019663,1.004666,36.58615
0.745222569,1.108971,1.003841,36.58615
0.750297547,1.278279,0.9995772,36.58615
0.755373478,1.356016,0.9946367,36.58615
0.760449410,1.560357,0.9925115,36.58615
0.765525341,1.809182,0.9925508,37.22711
0.770600796,1.907628,0.9912602,37.22711
0.775676727,1.841312,0.9863856,37.22711
0.780752659,2.021453,0.9866518,37.22711
0.785828590,1.866066,0.9882876,37.22711
0.790904045,1.777202,0.9885845,37.22711
0.795979977,1.76864,0.986368,37.22711
0.801055908,1.78013,0.9892671,37.22711
0.806131840,1.887774,0.9913509,37.22711
0.811207294,1.467745,0.9907732,37.22711
0.816283226,1.504707,0.9974394,36.21833
0.821359158,1.363192,1.003023,36.21833
0.826435089,1.174615,1.006069,36.21833
0.831512451,1.016841,1.008317,36.21833
0.836586475,0.8213182,1.009642,36.21833
0.841662407,0.7867262,1.015387,36.21833
0.846738338,0.5177182,1.015821,36.21833
0.851813793,0.6325276,1.023153,36.21833
0.856889725,0.7002168,1.017876,36.21833
0.861967087,0.81762,1.021459,36.56345
0.867041588,1.285101,1.022354,36.56345
0.872116566,1.352576,1.019415,36.56345
0.877192974,1.604493,1.024234,36.56345
0.882268906,1.459772,1.01715,36.56345
0.887346745,1.700772,1.018798,36.56345
0.892419815,1.884875,1.017507,36.56345
0.897495747,1.907464,1.024632,36.56345
0.900033951,2.025274,1.01122,36.56345
0.905109882,1.962097,1.014411,36.56345
0.910185814,1.969947,1.009217,36.78754
0.915261269,1.920953,0.9994944,36.78754
0.920337200,1.915078,1.007186,36.78754
0.925413132,1.736292,1.002216,36.78754
0.930489063,1.827049,0.9978938,36.78754
0.935564518,1.648649,0.9906965,36.78754
0.940640450,1.475717,0.9905773,36.78754
0.945716381,1.671343,0.9897579,36.78754
0.950792313,1.612953,0.9884139,36.78754
0.955867767,1.312918,0.9852562,36.78754
0.960943699,0.9079497,0.9845617,36.56345
0.966020107,0.5186727,0.9839752,36.56345
0.971095562,0.3833467,0.9896671,36.56345
0.976170540,0.5767801,0.9929341,36.56345
0.981246471,0.8942943,0.9918833,36.56345
0.986322880,1.189691,0.9946064,36.56345
0.991398811,1.496195,0.9956462,36.56345
0.996473789,1.304678,1.008264,36.56345
1.001549721,1.811835,1.000929,36.56345
1.006625652,1.954304,0.9992912,36.72122
1.011701584,1.880507,1.001715,36.72122
1.016777039,2.111884,1.007515,36.72122
1.021852970,2.094173,1.005724,36.72122
1.026928902,2.156166,1.007603,36.72122
1.032004833,2.178808,1.003521,36.72122
1.037080288,1.91795,1.005849,36.72122
1.042156219,1.729806,1.01295,36.72122
