Time (s),Power (dBm),Percentage (%)
144.963085651,-45,100
145.463515759,-45,100
145.963112354,-43,100
146.463429451,-45,100
146.963065147,-43,100
147.463371754,-45,100
147.963008404,-47,100
148.463397026,-45,100
148.962986946,-47,100
149.463428497,-43,100
149.962996960,-43,100
150.463377953,-43,100
150.962973118,-43,100
151.463520050,-43,100
