Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.199674606,-0.01976699,0.06827354,0.08919963,0.4070889,0.0459898,0.9129367,-24.49992,-3.51238,-63.91794,1008.807
0.204605579,0.1026742,0.06828718,0.02823999,0.4094799,0.05228601,0.9158682,-24.49992,-3.51238,-63.91794,1008.807
0.209535122,-0.1422479,-0.1117026,-0.03270049,0.4173166,0.04266668,0.914311,-24.49992,-3.51238,-63.91794,1008.807
0.214466095,-0.01978742,-0.0516627,-0.2764092,0.410498,0.04504193,0.9138739,-24.49992,-3.51238,-63.91794,1008.809
0.219396591,-0.08092207,0.06836575,0.02832074,0.4085234,0.04842661,0.9100988,-24.86073,-4.265714,-63.90233,1008.809
0.224326611,-0.2032808,0.06830396,-0.09352338,0.4090447,0.04502666,0.9157854,-24.86073,-4.265714,-63.90233,1008.809
0.229257107,0.1641718,-0.0517161,-0.03258017,0.4070569,0.05130391,0.9153842,-24.86073,-4.265714,-63.90233,1008.809
0.234187126,-0.1419745,-0.05166477,-0.03252143,0.4114416,0.0489197,0.9134396,-24.86073,-4.265714,-63.90233,1008.809
0.239117622,0.04172903,-0.05165116,-0.03253927,0.4129107,0.04651766,0.911023,-24.86073,-4.265714,-63.90233,1008.809
0.244048119,0.04172205,-0.1115884,-0.03249969,0.4138566,0.0513502,0.9148948,-24.86073,-4.265714,-63.90233,1008.809
0.248978138,-0.01954742,-0.05154862,-0.03247928,0.4153045,0.05185204,0.9120344,-24.86073,-4.265714,-63.90233,1008.809
0.253909111,-0.01953514,-0.1714934,-0.09338161,0.4104574,0.04988924,0.9105892,-24.86073,-4.265714,-63.90233,1008.809
0.258838654,-0.0195421,-0.05140849,0.02848425,0.4167753,0.04992668,0.9120095,-24.86073,-4.265714,-63.90233,1008.809
0.263769627,0.04169421,0.06852558,0.1502927,0.4138725,0.0474958,0.9096007,-24.86073,-4.265714,-63.90233,1008.809
0.268699646,-0.0808185,0.1284523,-0.0325508,0.4119302,0.05035577,0.9196593,-24.49424,-3.888505,-63.91367,1008.809
0.273630142,-0.01954371,0.06843953,0.1501996,0.4109929,0.04359532,0.9133791,-24.49424,-3.888505,-63.91367,1008.809
0.278560638,-0.0195122,0.06837769,0.0891825,0.4090219,0.04745385,0.91295,-24.49424,-3.888505,-63.91367,1008.809
0.283490658,0.1029096,0.06833474,-0.03268073,0.4061388,0.04403712,0.9167339,-24.49424,-3.888505,-63.91367,1008.809
0.288421154,0.1028835,0.008378614,-0.03267934,0.4105158,0.0426218,0.9143233,-24.49424,-3.888505,-63.91367,1008.809
0.293351173,-0.1420196,-0.1715547,-0.09360069,0.4114359,0.04988577,0.9139279,-24.49424,-3.888505,-63.91367,1008.809
0.298281670,0.1029465,-0.0514886,0.02832273,0.412405,0.05037451,0.914409,-24.49424,-3.888505,-63.91367,1008.809
0.303212643,-0.01952774,-0.05145626,0.08922768,0.4157814,0.05426266,0.9158791,-24.49424,-3.888505,-63.91367,1008.809
0.310607910,0.04171469,0.008580793,0.02825914,0.4133716,0.05038799,0.9120212,-24.49424,-3.888505,-63.91367,1008.809
0.315537453,0.04165002,0.008613091,0.02822225,0.4124306,0.04698548,0.9153244,-25.22738,-3.888466,-63.46053,1008.809
0.320468426,-0.0808242,0.008569989,-0.2155247,0.4129001,0.0498855,0.9172658,-25.22738,-3.888466,-63.46053,1008.809
0.325398922,0.04167463,0.008583453,-0.03267851,0.410001,0.04792847,0.9182032,-25.22738,-3.888466,-63.46053,1008.809
0.330328941,0.04166768,0.008578058,0.2109947,0.4114604,0.04649815,0.9143661,-25.22738,-3.888466,-63.46053,1008.809
