Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.219396591,0.8955298,-0.1750409,-0.3931946,0.1409608,0.9766262,-0.1140145,0.4066588,0.04722213,0.9052888
0.224326611,0.8954781,-0.1754319,-0.3931381,0.1413324,0.9765574,-0.1141438,0.4066437,0.04719427,0.9052969
0.229257107,0.8954523,-0.1756308,-0.3931089,0.1415123,0.9765217,-0.1142301,0.4066388,0.04720222,0.9052988
0.234187126,0.8954373,-0.1757161,-0.3931048,0.1415852,0.9765058,-0.1142754,0.4066463,0.04721327,0.9052948
0.239117622,0.8953915,-0.1760172,-0.3930746,0.1418623,0.9764518,-0.1143936,0.4066507,0.0472096,0.9052929
0.244048119,0.8953663,-0.1761672,-0.3930662,0.1419933,0.9764246,-0.1144673,0.4066617,0.04722266,0.9052878
0.248978138,0.8953574,-0.1761905,-0.3930756,0.1420022,0.976419,-0.1145029,0.4066778,0.04724888,0.905279
0.253909111,0.8953424,-0.176241,-0.3930874,0.1420384,0.976409,-0.1145436,0.4066985,0.04726795,0.9052688
0.258838654,0.895326,-0.1762944,-0.393102,0.1420773,0.976399,-0.1145849,0.4067222,0.04728587,0.9052577
0.263769627,0.8952956,-0.1765001,-0.3930787,0.1422662,0.9763619,-0.1146669,0.4067228,0.04728506,0.9052573
0.268699646,0.8953136,-0.1764053,-0.393079,0.1421766,0.976378,-0.1146359,0.4067133,0.04729452,0.9052606
0.273630142,0.8953106,-0.176427,-0.3930763,0.1422023,0.9763749,-0.114632,0.4067112,0.04728093,0.9052624
0.278560638,0.8953083,-0.1764627,-0.3930655,0.142242,0.9763691,-0.1146313,0.4067023,0.04726593,0.9052671
0.283490658,0.8952914,-0.1766297,-0.3930293,0.1424019,0.9763396,-0.1146858,0.4066839,0.04725524,0.9052761
0.288421154,0.8952717,-0.1767641,-0.3930141,0.1425309,0.9763161,-0.1147266,0.4066824,0.04724102,0.9052774
0.295816422,0.8952859,-0.1766132,-0.3930492,0.1423896,0.9763432,-0.1146705,0.4067003,0.04724277,0.9052692
0.300746918,0.8953155,-0.1763977,-0.3930781,0.1421818,0.9763808,-0.1146062,0.4067074,0.04726601,0.9052648
0.305676937,0.8953384,-0.1762017,-0.3931138,0.1419936,0.9764153,-0.1145447,0.4067227,0.04728241,0.9052571
0.310607910,0.8953565,-0.1760635,-0.3931341,0.1418622,0.9764397,-0.1144989,0.4067283,0.04729208,0.9052541
0.315537453,0.8953332,-0.1762051,-0.393125,0.1419941,0.9764149,-0.1145503,0.4067347,0.047285,0.905252
0.320468426,0.8953304,-0.1762282,-0.3931205,0.142014,0.9764103,-0.1145627,0.4067335,0.04728865,0.905252
0.325398922,0.895327,-0.1762677,-0.3931106,0.1420491,0.976403,-0.1145818,0.4067287,0.04729303,0.9052539
0.330328941,0.8953038,-0.1764272,-0.3930916,0.1421997,0.9763747,-0.1146364,0.406727,0.04728296,0.9052552
0.335255623,0.8952819,-0.1766104,-0.3930606,0.1423751,0.9763429,-0.1146946,0.4067151,0.04726811,0.9052618
0.340185165,0.8952848,-0.1766116,-0.3930534,0.1423776,0.9763427,-0.1146928,0.4067079,0.04726689,0.905265
0.345116139,0.8952659,-0.1767411,-0.3930382,0.1425023,0.97632,-0.1147314,0.4067057,0.04725252,0.9052667
0.350046635,0.8952596,-0.1767602,-0.3930442,0.1425189,0.9763166,-0.1147401,0.406714,0.04725221,0.9052631
0.354976654,0.8952373,-0.1769289,-0.3930183,0.1426759,0.9762859,-0.1148036,0.4067073,0.04724876,0.9052658
0.359907150,0.8952188,-0.1770922,-0.3929872,0.1428276,0.9762564,-0.1148662,0.406695,0.04724764,0.9052714
0.364837170,0.8952406,-0.1769589,-0.3929981,0.142697,0.9762799,-0.114832,0.4066934,0.04726923,0.9052714
0.369767666,0.895255,-0.1768733,-0.3930032,0.1426179,0.9762949,-0.1147997,0.4066889,0.04727226,0.9052729
0.374698162,0.8952618,-0.1768199,-0.3930123,0.1425692,0.9763049,-0.1147774,0.4066915,0.04727082,0.9052721
0.379628182,0.8952786,-0.1766876,-0.3930326,0.1424441,0.9763281,-0.1147317,0.4066974,0.04727799,0.9052687
0.384559155,0.8953248,-0.176408,-0.3930524,0.1421756,0.9763769,-0.1146482,0.4066892,0.0473111,0.9052707
0.389488697,0.8953303,-0.1763761,-0.3930542,0.1421448,0.9763823,-0.1146394,0.4066879,0.04731568,0.905271
0.394419670,0.8953474,-0.1762412,-0.3930757,0.1420144,0.9764059,-0.1145992,0.4066957,0.04732977,0.9052668
0.399349690,0.8953761,-0.1760719,-0.3930854,0.141852,0.9764352,-0.1145485,0.4066884,0.04735008,0.9052688
0.404280186,0.8953839,-0.1759951,-0.3931019,0.1417821,0.9764491,-0.1145155,0.4066955,0.04734638,0.9052657
0.409210682,0.8953869,-0.1759548,-0.3931131,0.1417456,0.9764565,-0.1144974,0.4067016,0.04734323,0.9052632
0.414140701,0.8954018,-0.175865,-0.3931198,0.1416648,0.976473,-0.1144583,0.4066974,0.04734061,0.9052655
0.419071198,0.895449,-0.1755356,-0.3931592,0.1413628,0.9765322,-0.1143256,0.4066982,0.04733986,0.9052652
0.424001217,0.8954869,-0.1752714,-0.3931904,0.1411225,0.9765797,-0.1142151,0.4066979,0.04733491,0.9052656
0.428931713,0.895543,-0.1748644,-0.3932431,0.1407438,0.9766518,-0.1140634,0.406705,0.04734649,0.9052618
0.433861733,0.8955652,-0.1747346,-0.393251,0.140631,0.9766759,-0.1139981,0.4066958,0.04733348,0.9052669
0.438792229,0.895602,-0.1744775,-0.3932806,0.1403975,0.9767218,-0.1138899,0.4066948,0.04732812,0.9052675
0.443723202,0.8956575,-0.1740735,-0.3933325,0.1400243,0.9767933,-0.113733,0.4067005,0.04733288,0.9052646
0.448653221,0.8956765,-0.1739543,-0.3933425,0.139919,0.9768152,-0.1136765,0.4066953,0.04732427,0.9052676
0.453583717,0.8957117,-0.1737146,-0.3933679,0.1396985,0.9768576,-0.1135822,0.4066933,0.04732658,0.9052684
0.458513737,0.8957397,-0.173505,-0.3933952,0.1395067,0.9768943,-0.1134965,0.406696,0.04732444,0.9052667
0.463444233,0.8957184,-0.1736191,-0.3933949,0.139606,0.9768742,-0.1135528,0.4067103,0.04733356,0.9052604
0.470839501,0.8956863,-0.1737878,-0.393393,0.1397543,0.9768435,-0.1136325,0.4067296,0.04734355,0.905251
0.475769997,0.8956615,-0.1739734,-0.3933683,0.1399233,0.9768107,-0.11371,0.406727,0.04734739,0.9052523
0.480700493,0.8956344,-0.1741559,-0.3933485,0.1400925,0.9767781,-0.1137792,0.4067277,0.04734275,0.9052517
0.485630512,0.8956229,-0.174246,-0.3933351,0.1401745,0.9767621,-0.1138171,0.406725,0.04734519,0.9052529
0.490561485,0.8955962,-0.1744226,-0.3933179,0.1403368,0.9767307,-0.1138869,0.4067282,0.04734339,0.9052516
0.495491028,0.8955781,-0.1745651,-0.3932962,0.1404691,0.9767055,-0.1139411,0.4067227,0.04734104,0.9052542
0.500422001,0.8955706,-0.1746258,-0.3932874,0.1405189,0.9766943,-0.113979,0.406723,0.04735603,0.9052537
0.505352020,0.8955716,-0.1746024,-0.3932938,0.1404919,0.9766973,-0.1139814,0.4067284,0.04736799,0.90525
0.510282517,0.8955693,-0.1746832,-0.3932635,0.1405731,0.9766835,-0.1140007,0.4067058,0.0473574,0.9052607
0.515213013,0.8956034,-0.1744613,-0.3932846,0.1403669,0.9767229,-0.1139183,0.4067023,0.04736533,0.9052622
0.520143032,0.8956179,-0.1743715,-0.3932911,0.1402818,0.9767385,-0.1138886,0.4066993,0.0473729,0.905263
0.525073528,0.8956321,-0.1742926,-0.3932935,0.1402064,0.976752,-0.1138646,0.4066938,0.04738232,0.905265
0.530003548,0.8956269,-0.174337,-0.3932861,0.1402566,0.9767453,-0.1138615,0.4066884,0.04736016,0.9052687
0.534930229,0.8956121,-0.1744428,-0.3932725,0.1403614,0.9767271,-0.113887,0.4066845,0.04734204,0.9052712
0.539860726,0.8955998,-0.1745839,-0.3932381,0.140506,0.9767036,-0.113912,0.4066618,0.04731094,0.905283
0.544790745,0.8956151,-0.1744826,-0.393248,0.1404139,0.9767216,-0.1138698,0.4066597,0.04730958,0.9052839
0.549721241,0.8956199,-0.1744319,-0.3932595,0.1403637,0.9767303,-0.1138568,0.4066664,0.04731658,0.9052806
0.554651261,0.8956248,-0.1743839,-0.3932695,0.1403175,0.9767387,-0.1138419,0.4066714,0.0473205,0.9052781
0.559581757,0.8956051,-0.1744941,-0.3932665,0.1404226,0.97672,-0.1138759,0.4066795,0.04730783,0.9052756
0.564511776,0.8956201,-0.1743763,-0.3932835,0.1403032,0.9767393,-0.1138535,0.4066867,0.04733408,0.9052705
0.569442272,0.8956094,-0.1743838,-0.3933048,0.140308,0.9767381,-0.1138584,0.4067088,0.04733247,0.9052607
0.574373245,0.8956194,-0.1743288,-0.3933062,0.1402563,0.9767476,-0.1138396,0.4067043,0.04733681,0.9052624
0.579303265,0.8956214,-0.1743074,-0.3933115,0.1402386,0.9767519,-0.1138266,0.4067065,0.04733153,0.905262
0.584233761,0.895665,-0.1740229,-0.3933385,0.1399676,0.9768014,-0.1137355,0.4067041,0.04735751,0.9052619
0.589163780,0.8956597,-0.174,-0.39336,0.1399435,0.9768052,-0.113731,0.4067234,0.04735935,0.9052529
0.594094277,0.8956677,-0.1739525,-0.3933629,0.1398979,0.9768133,-0.1137167,0.4067216,0.04736495,0.9052535
0.599024773,0.8956628,-0.1740279,-0.3933409,0.139971,0.9768003,-0.1137398,0.4067073,0.04735945,0.9052603
0.603954792,0.8956555,-0.1740678,-0.3933396,0.140005,0.9767927,-0.1137613,0.4067115,0.04736483,0.9052579
0.608885288,0.8956572,-0.1740915,-0.3933258,0.1400291,0.9767889,-0.1137669,0.4067,0.04736242,0.9052635
0.613815308,0.8956447,-0.1741609,-0.3933229,0.140097,0.9767769,-0.1137845,0.4067035,0.04735048,0.9052622
0.618745804,0.8956463,-0.1741745,-0.393314,0.1401126,0.976775,-0.1137841,0.4066954,0.04734549,0.9052665
0.623675823,0.895644,-0.1741435,-0.3933325,0.1400814,0.9767802,-0.1137758,0.4067107,0.04734738,0.9052593
0.628606796,0.8956342,-0.1741521,-0.393351,0.1400944,0.9767796,-0.1137654,0.4067279,0.04732917,0.9052525
0.633537769,0.8956623,-0.1739504,-0.3933754,0.1399019,0.9768143,-0.1137009,0.4067313,0.04734681,0.9052498
0.638467312,0.8957117,-0.1736429,-0.3933996,0.1396114,0.9768682,-0.1135982,0.4067232,0.04737096,0.9052527
0.643397808,0.8957123,-0.1736351,-0.393401,0.1396078,0.9768696,-0.113587,0.4067224,0.0473622,0.9052532
0.650793076,0.89574,-0.1734531,-0.3934175,0.1394435,0.9769019,-0.1135084,0.4067171,0.04735705,0.9052556
0.655723572,0.895728,-0.1735373,-0.3934091,0.1395334,0.976889,-0.113514,0.4067141,0.04732634,0.9052591
0.660653591,0.8957503,-0.1733882,-0.3934239,0.1393974,0.9769155,-0.1134526,0.4067115,0.04732503,0.9052604
0.665584088,0.8957645,-0.1732764,-0.3934397,0.1392956,0.976935,-0.1134059,0.406714,0.04732256,0.905259
0.670514107,0.8957923,-0.1730818,-0.3934614,0.1391151,0.9769689,-0.1133322,0.4067139,0.04732747,0.9052586
0.675444603,0.8958235,-0.1728496,-0.3934921,0.1389019,0.97701,-0.1132391,0.4067177,0.04732692,0.9052569
0.680375576,0.8958358,-0.1727328,-0.3935159,0.1387935,0.9770308,-0.1131937,0.4067281,0.04732689,0.9052525
0.685305596,0.895887,-0.1723612,-0.3935615,0.1384454,0.9770952,-0.1130605,0.4067332,0.04734361,0.9052492
0.690236092,0.8958933,-0.172298,-0.3935753,0.138392,0.9771071,-0.1130241,0.406738,0.0473306,0.9052479
0.695166111,0.8959709,-0.1717749,-0.3936271,0.1379007,0.9771976,-0.1128408,0.4067337,0.04736084,0.9052485
