Time (s),Power (dBm),Percentage (%)
144.993384361,-43,100
145.493551254,-43,100
146.081089973,-43,100
146.493498802,-43,100
146.993308544,-43,100
147.535223484,-43,100
148.045973301,-43,100
148.505941391,-41,100
148.993170261,-43,100
149.579247475,-43,100
149.993202686,-44,100
150.493530750,-44,100
150.993249893,-43,100
151.493413925,-42,100
