Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
1.500890255,4.752578,0.9914877,37.859
1.505915165,4.76087,0.9882421,37.859
1.510939598,5.237227,0.9950654,37.859
1.515963555,5.360548,0.9932495,37.859
1.520988464,5.564655,0.9969218,37.84649
1.526012898,5.745671,0.9922814,37.84649
1.531041622,5.769514,0.9994863,37.84649
1.536062241,5.953399,0.99695,37.84649
1.541086674,5.808899,0.9963295,37.84649
1.649113655,2.347802,0.9958373,37.84649
1.654134274,2.578296,0.9915251,37.84649
1.656646252,2.472701,0.9850903,37.84649
1.661670685,2.339325,0.9882745,37.84649
1.666695118,2.231776,0.9842576,37.84649
1.671720028,2.030502,0.9828724,38.10611
1.676744461,1.949438,0.9927059,38.10611
1.681769371,1.694817,0.9879967,38.10611
1.686793327,1.896089,0.990982,38.10611
1.691817761,1.904796,0.994925,38.10611
1.696842194,2.205713,0.9851645,38.10611
1.701867104,1.929638,0.9923835,38.10611
1.706891537,2.232392,0.9874921,38.10611
1.711916447,2.22711,0.9941391,38.10611
1.716940403,2.367978,0.9913408,38.38697
1.721964836,2.589198,0.9903535,38.38697
1.832504272,4.861389,1.000116,38.57249
1.835016727,5.285466,0.9980698,38.57249
1.837528706,5.301017,0.9982485,38.57249
1.842553616,5.778853,0.9928557,38.57249
1.847578049,6.095319,0.9977562,38.57249
1.852598667,6.488681,0.9988642,38.57249
1.857622623,6.847392,0.9987119,38.57249
1.862647533,6.989002,0.9988805,38.57249
1.867671967,7.582294,1.002243,38.12568
1.872697353,7.636008,0.9977304,38.12568
1.877721310,7.966728,0.9967844,38.12568
1.882745743,8.156264,1.002763,38.12568
1.887769699,8.738929,0.9997582,38.12568
1.892795563,8.897648,1.004453,38.12568
1.897819042,9.172031,0.9961539,38.12568
1.902843475,9.530348,0.9954166,38.12568
2.015894890,1.733135,0.9814684,38.47586
2.020919800,1.559976,0.9805481,38.47586
2.023432255,1.285306,0.9779553,38.47586
2.025944233,1.107999,0.981365,38.47586
2.030968666,0.9174676,0.9803626,38.47586
2.035993576,1.239349,0.9847956,38.47586
2.041018009,1.803439,0.9837087,38.47586
2.046041965,1.932896,0.9862045,38.47586
2.051062584,2.007945,0.987746,38.47586
2.056087494,2.180743,0.9864607,38.47586
2.061111927,2.617674,0.9866416,38.13132
2.066136837,2.303584,0.9921694,38.13132
2.071161270,2.608581,0.9905433,38.13132
2.076185226,2.410161,0.9922531,38.13132
2.081210613,2.803102,0.9885318,38.13132
2.086234570,2.938763,0.9896164,38.13132
2.091259003,3.098572,0.9984134,38.13132
2.096283913,3.170278,0.9952157,38.13132
2.101308346,2.979664,0.9933112,38.13132
2.106332302,2.891448,0.9901466,38.13132
2.111356735,2.665263,0.9983003,38.58171
2.116381645,2.634005,0.9965807,38.58171
2.121406078,2.351903,0.9960569,38.58171
2.126430988,2.363717,0.9965129,38.58171
2.131454945,2.296086,1.000727,38.58171
2.136479378,2.17575,1.001715,38.58171
2.141504288,2.244752,0.9953089,38.58171
2.146528721,1.915146,0.9947607,38.58171
2.151553154,2.172067,0.9986511,38.58171
2.156578064,1.982071,0.999006,38.58171
2.161602020,2.227817,0.9901122,37.9425
2.166626453,2.532536,0.9900178,37.9425
2.171651363,2.606366,0.9943176,37.9425
2.176675797,2.655785,0.9965183,37.9425
2.181700707,2.541175,0.9968611,37.9425
2.186725140,2.556786,0.9945975,37.9425
