Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
101.437805176,80.49219,86.53125,3.771875,298.75,0
102.492549420,80.46875,86.625,3.770625,310.9375,0
103.372708798,80.45313,86.53125,3.768125,304.6875,0
104.427590847,80.44141,86.625,3.764375,316.875,0
105.482610703,80.42969,86.71875,3.755625,289.6875,0
106.360247135,80.40625,86.71875,3.76875,294.375,0
107.414438248,80.39453,86.90625,3.774375,295,0
108.469266415,80.38281,87,3.775,299.6875,0
109.348267555,80.37109,87,3.770625,305.625,0
110.403001309,80.35547,87.375,3.770625,301.5625,0
111.458006859,80.33203,87.28125,3.77375,284.375,0
112.337536335,80.32031,87.375,3.75875,301.5625,0
113.391644478,80.30859,87.28125,3.771875,305.3125,0
114.447475910,80.28516,87.28125,3.77,303.75,0
115.327527523,80.27344,87.1875,3.7675,318.125,0
116.398257732,80.25781,87.1875,3.76625,336.875,0
117.434943199,80.24609,87,3.77,289.6875,0
118.489952564,80.22266,87.28125,3.7675,291.875,0
119.368675232,80.21094,87.09375,3.768125,306.875,0
120.423470497,80.19922,87.1875,3.77125,315,0
121.478137970,80.1875,87.09375,3.76625,307.1875,0
122.357088089,80.17578,87,3.7725,310.9375,0
123.412673950,80.14844,86.90625,3.766875,310.9375,0
124.467297077,80.13672,87,3.77375,291.875,0
125.406270027,80.125,87,3.7725,290.625,0
126.400482655,80.11328,87.09375,3.765,293.75,0
127.279777527,80.10156,87.28125,3.768125,304.6875,0
128.334714890,80.07813,87.09375,3.75,300.625,0
129.388964653,80.0625,87.09375,3.766875,293.4375,0
130.443779945,80.05078,86.90625,3.7675,307.5,0
131.323058605,80.03906,86.90625,3.766875,300.3125,0
132.377418518,80.01563,86.90625,3.770625,301.5625,0
133.432555676,80.00391,87,3.753125,313.125,0
134.487051964,79.99219,86.8125,3.765625,308.125,0
135.367259026,79.98047,86.71875,3.765625,295.3125,0
136.422306538,79.95313,86.71875,3.77,286.875,0
137.475817680,79.94141,86.8125,3.75875,300.625,0
138.392327786,79.92969,86.8125,3.771875,282.8125,0
