Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.332710743,-2.043155,0.626203,0.284833,0.05209723,0.9695369,-0.2091634,-9.595762,-36.35411,-7.711388,1008.082
0.337734699,-1.857875,0.8068041,0.284833,0.04825033,0.9666708,-0.2216491,-9.595762,-36.35411,-7.711388,1008.082
0.342759609,-1.672594,0.9874052,0.04057138,0.04625587,0.9719604,-0.2124814,-9.600252,-35.98367,-7.255638,1008.086
0.347784042,-1.302034,1.168006,-0.02049401,0.04686172,0.9608281,-0.2245961,-9.600252,-35.98367,-7.255638,1008.086
0.352808952,-0.9314737,1.348607,-0.02049401,0.04728275,0.9666412,-0.2182966,-9.600252,-35.98367,-7.255638,1008.086
0.423151493,0.9213276,0.626203,-0.5090172,0.03614559,0.9664917,-0.2072772,-8.854443,-36.34659,-7.252559,1008.088
0.428176403,1.106608,0.5660027,-0.631148,0.03424472,0.9630944,-0.2116295,-8.854443,-36.34659,-7.252559,1008.088
0.433200836,1.044848,0.445602,-0.631148,0.03129508,0.9669672,-0.2101416,-8.854443,-36.34659,-7.252559,1008.088
0.435712814,1.230128,0.5058023,-0.6922134,0.03563669,0.9684889,-0.214435,-8.854443,-36.34659,-7.252559,1008.088
0.440737724,1.044848,0.3252012,-0.631148,0.03473406,0.9626198,-0.2130725,-9.594461,-36.35454,-8.166106,1008.088
0.445762158,1.106608,0.2048005,-0.8143441,0.03765105,0.9616701,-0.2140441,-9.594461,-36.35454,-8.166106,1008.088
0.450787068,1.168368,0.08439979,-0.8754095,0.0352017,0.9640929,-0.2140118,-9.594461,-36.35454,-8.166106,1008.088
0.455811501,1.291888,0.1446002,-0.8754095,0.03427399,0.9606194,-0.2063931,-9.594461,-36.35454,-8.166106,1008.088
0.460835457,1.230128,0.08439979,-0.8754095,0.03470281,0.9655165,-0.2087255,-9.594461,-36.35454,-8.166106,1008.088
0.465859890,1.538928,-0.1564016,-0.8143441,0.03811321,0.9636309,-0.2149772,-9.594461,-36.35454,-8.166106,1008.09
0.470884800,1.600688,-0.216602,-1.119671,0.03998534,0.9694932,-0.2144247,-9.594461,-36.35454,-8.166106,1008.09
0.475909233,2.033009,-0.216602,-0.8754095,0.03756846,0.9689961,-0.2153874,-9.594461,-36.35454,-8.166106,1008.09
0.480929852,2.033009,-0.3972031,-0.9975403,0.03905588,0.9660529,-0.2115946,-9.594461,-36.35454,-8.166106,1008.09
0.485954762,1.971248,-0.4574034,-0.9975403,0.04246291,0.9646153,-0.2120938,-9.594461,-36.35454,-8.166106,1008.09
0.490978718,2.094769,-0.3972031,-1.119671,0.03906135,0.9655651,-0.2116008,-9.222567,-36.72016,-7.255645,1008.09
0.573883534,1.847728,-1.360409,-0.1426248,0.05310962,0.9656448,-0.2096925,-9.228943,-35.98012,-7.253583,1008.088
0.576395512,1.847728,-1.360409,-0.2036902,0.05209776,0.969527,-0.2077268,-9.228943,-35.98012,-7.253583,1008.088
0.581419945,1.724208,-1.300208,0.04057138,0.0540516,0.9680799,-0.2082253,-9.228943,-35.98012,-7.253583,1008.088
0.586444378,1.600688,-1.240008,-0.0815594,0.05455136,0.9666398,-0.2111174,-9.604553,-35.61328,-6.864848,1008.088
0.591469288,1.600688,-1.059407,0.1016368,0.05451446,0.9700275,-0.207243,-9.604553,-35.61328,-6.864848,1008.088
0.596493721,1.353648,-0.7584053,-0.2036902,0.05694035,0.9695854,-0.2115601,-9.604553,-35.61328,-6.864848,1008.088
0.601518631,1.044848,-0.6380045,-0.1426248,0.05938069,0.9681019,-0.2063126,-9.604553,-35.61328,-6.864848,1008.088
0.606542587,1.168368,-0.3972031,-0.3868864,0.05690823,0.9724987,-0.2096074,-9.604553,-35.61328,-6.864848,1008.088
0.611567021,1.168368,-0.1564016,-0.5090172,0.06084308,0.967169,-0.2111143,-9.604553,-35.61328,-6.864848,1008.088
0.616591931,0.8595675,0.445602,-0.631148,0.06039133,0.9642428,-0.2116303,-9.604553,-35.61328,-6.864848,1008.088
0.621616364,0.6742874,0.6864034,-0.8754095,0.06089249,0.9627761,-0.2106915,-9.604553,-35.61328,-6.864848,1008.088
0.626640797,0.6125274,1.107806,-0.8143441,0.059374,0.9686127,-0.2096584,-9.604553,-35.61328,-6.864848,1008.088
0.631664753,0.6742874,1.77001,-0.9364749,0.06038394,0.9647667,-0.2168915,-9.604553,-35.61328,-6.864848,1008.088
