Time (s),Humidity (%)
0.942938328,10.9082
1.942828178,10.55078
2.942717552,11.70508
3.942607403,11.34668
4.942497253,11.88867
5.942386627,12.13184
6.942276478,12.18945
7.942165852,11.85449
8.942055702,11.20898
9.942300320,12.25781
10.942190170,10.8623
11.942083359,11.51953
12.941972733,12.44238
13.941862583,11.87793
14.941751957,11.15039
15.941640854,11.42773
16.941530228,10.1123
17.964030743,10.9082
18.941309452,12.71973
19.941319466,12.23535
20.941208839,11.24316
21.941097736,13.51563
23.044246674,11.16211
23.941134453,11.64648
24.941023827,9.8125
25.988647938,11.2666
26.943319321,11.62402
27.943208694,11.05859
29.020981312,12.29297
29.943361282,11.64648
30.943499565,11.50879
31.943385124,11.00098
32.943274975,11.64648
33.943164825,11.58984
34.943054676,12.44336
35.942944527,11.45117
36.942834854,11.56641
37.942724705,10.99023
38.942615032,11.55469
39.942504883,13.14648
40.942395687,11.02441
41.942285538,10.9668
42.942176342,11.45117
43.942066669,11.49707
44.941957474,11.49707
45.941847801,11.55566
46.989476681,9.905273
47.941634178,11.37109
48.941523552,11.64746
49.996689796,10.50586
50.941309452,11.94824
51.941200256,11.65918
52.941091537,11.94824
53.940985680,12.15527
54.940876961,12.02832
55.940768242,11.24414
56.943172455,11.79785
57.943063736,11.59082
58.942955017,12.0293
59.942846775,12.43262
60.942739487,10.71387
61.942629814,12.54883
62.942521572,10.72559
63.942413807,12.26074
64.942306519,12.06445
65.942198277,12.03027
66.942090988,11.06055
67.941982746,12.75684
68.941879272,11.70703
69.941771984,11.23438
70.941664696,11.23438
71.941556931,11.24512
73.004257679,9.895508
73.941342354,10.49512
