Time (s),X (g),Y (g),Z (g)
0.000832558,-0.1370939,0.5094559,0.6793327
0.005857468,-0.1355838,0.5074933,0.6783416
0.010881901,-0.1355979,0.5109206,0.6740718
0.015906334,-0.137996,0.5123038,0.6779101
0.020931244,-0.1335762,0.5093794,0.6754588
0.025951862,-0.1330139,0.506864,0.6782783
0.030976295,-0.1354105,0.5077488,0.6792204
0.036001205,-0.1315377,0.5101531,0.6787417
0.041025639,-0.1339517,0.512488,0.6816175
0.046050549,-0.1309713,0.5090524,0.6762713
0.051074982,-0.1353036,0.5079488,0.6757303
0.056099415,-0.1333684,0.509802,0.6761792
0.061124325,-0.133253,0.5019206,0.6726793
0.066148758,-0.1308778,0.5077269,0.6703199
0.071174145,-0.1346862,0.5056586,0.6736207
0.076199055,-0.1288213,0.5031805,0.6730691
0.081223488,-0.1312598,0.5094364,0.6750477
0.086247921,-0.1359484,0.5005411,0.680191
0.091272831,-0.1301846,0.5093547,0.6750212
0.096297264,-0.1354164,0.5058469,0.6778443
0.101322174,-0.1309856,0.5034568,0.671102
0.106346607,-0.1328696,0.5034015,0.675897
0.111371040,-0.1299952,0.5112605,0.6721808
0.116395950,-0.1322758,0.5010254,0.673992
0.121420383,-0.1347581,0.5097818,0.6789151
0.126449585,-0.1346528,0.5029649,0.6822042
0.131470680,-0.1346432,0.5054673,0.6760293
0.136494637,-0.136144,0.5113017,0.6809096
0.141519070,-0.1336513,0.5069446,0.6813464
0.146547794,-0.1355928,0.5094154,0.6790043
0.151568413,-0.1355413,0.5074771,0.6809148
0.156597614,-0.1326307,0.5119207,0.6790763
0.161618233,-0.1310737,0.506559,0.678532
0.166642666,-0.132473,0.506542,0.6809427
0.171667576,-0.1353438,0.5075344,0.6747376
0.176692009,-0.1309817,0.510038,0.6699859
0.181716919,-0.1347756,0.504097,0.6799754
0.186745167,-0.130426,0.5060564,0.6828731
0.191766262,-0.1314613,0.5138785,0.6796264
0.196790695,-0.1294892,0.5104371,0.6829237
0.201815128,-0.1343317,0.5094132,0.6800194
0.206840038,-0.1333258,0.5069527,0.6790134
0.211864471,-0.1265265,0.5055513,0.6717917
