Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.942938328,44.824,32.974
1.942828178,44.89,32.974
2.942717552,44.874,32.974
3.942607403,44.844,32.974
4.942497253,44.844,32.974
5.942386627,44.798,32.974
6.942276478,44.862,32.974
7.942165852,44.876,32.974
8.942055702,44.83,32.972
9.942300320,44.826,32.972
10.942190170,44.842,32.972
11.942083359,44.864,32.972
12.941972733,44.84,32.972
13.941862583,44.864,32.972
14.941751957,44.88,32.972
15.941640854,44.842,32.972
16.941530228,44.862,32.972
17.961518764,44.842,32.972
18.941309452,44.79,32.972
19.941319466,44.852,32.972
20.941208839,44.844,32.972
21.941097736,44.894,32.972
23.044246674,44.836,32.972
23.941134453,44.86,32.972
24.941023827,44.85,32.972
25.988647938,44.842,32.972
26.940806866,44.816,32.972
27.943208694,44.834,32.972
29.020981312,44.876,32.974
29.943361282,44.836,32.974
30.943499565,44.886,32.974
31.943385124,44.916,32.974
32.943274975,44.9,32.974
33.943164825,44.89,32.976
34.943054676,44.824,32.976
35.942944527,44.856,32.976
36.942834854,44.886,32.976
37.942724705,44.89,32.976
38.942615032,44.876,32.976
39.942504883,44.91,32.976
40.942395687,44.886,32.978
41.942285538,44.916,32.978
42.942176342,44.874,32.978
43.942066669,44.806,32.978
44.941957474,44.9,32.978
45.941847801,44.862,32.98
46.989476681,44.868,32.98
47.941634178,44.844,32.98
48.941523552,44.9,32.98
49.996689796,44.878,32.98
50.941309452,44.902,32.982
51.941200256,44.884,32.982
52.941091537,44.892,32.982
53.940985680,44.912,32.982
54.940876961,44.942,32.984
55.940768242,44.978,32.984
56.943172455,44.876,32.984
57.940551758,44.912,32.984
58.942955017,44.884,32.986
59.942846775,44.876,32.986
60.942739487,44.906,32.986
61.942629814,44.914,32.988
62.942521572,44.904,32.988
63.942413807,44.92,32.988
64.942306519,44.916,32.99
65.942198277,44.938,32.99
66.942090988,44.926,32.99
67.941982746,44.934,32.992
68.941879272,44.968,32.992
69.941771984,44.918,32.992
70.941664696,44.972,32.992
71.941556931,44.984,32.994
73.004257679,44.922,32.994
73.941342354,44.968,32.994
