Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.676634788,151.7124,-10.08467,42.94209
0.681659222,151.7148,-10.08651,42.94534
0.686684132,151.7165,-10.08824,42.94818
0.691708565,151.7172,-10.08922,42.95112
0.696733475,151.7185,-10.08999,42.95412
0.701757908,151.7201,-10.08947,42.95732
0.706782341,151.722,-10.0889,42.95995
0.711807251,151.7252,-10.08836,42.96187
0.716832638,151.7286,-10.08713,42.96413
0.721857071,151.7308,-10.08617,42.96654
0.726881981,151.7325,-10.08537,42.96994
0.731906414,151.7332,-10.08478,42.97326
0.736930847,151.7327,-10.08424,42.97713
0.741955757,151.7329,-10.0835,42.98075
0.746981621,151.7338,-10.08366,42.98395
0.752005100,151.7354,-10.08451,42.98681
0.757029533,151.738,-10.08494,42.98983
0.762053966,151.7407,-10.08507,42.99211
0.767078876,151.7422,-10.08431,42.99447
0.772104263,151.7428,-10.08557,42.99721
0.777128696,151.7428,-10.08641,43.00009
0.782152653,151.7435,-10.08694,43.00261
0.787177563,151.7445,-10.08731,43.0054
0.792201996,151.7465,-10.08705,43.00714
0.797226429,151.7486,-10.08681,43.01012
0.802256584,151.751,-10.08782,43.01237
0.807276726,151.7526,-10.08888,43.01482
0.812301159,151.7525,-10.09086,43.01815
0.817325592,151.7514,-10.09324,43.02169
0.822350502,151.7486,-10.09585,43.02447
0.827374935,151.7475,-10.09815,43.02654
0.832399845,151.7467,-10.10066,43.02821
0.837424278,151.7471,-10.10203,43.02977
0.842449188,151.7477,-10.10314,43.03085
0.847473621,151.748,-10.10475,43.0313
0.852498054,151.7467,-10.10535,43.03174
0.857522964,151.7463,-10.1059,43.0316
0.862547398,151.7458,-10.10602,43.03196
0.867572308,151.7454,-10.10607,43.03244
0.872593403,151.7447,-10.106,43.03284
0.877617359,151.7435,-10.10635,43.03439
0.882642269,151.7424,-10.10648,43.03473
0.887667179,151.742,-10.10744,43.03608
0.892692089,151.7416,-10.10909,43.03744
0.897716522,151.7413,-10.10991,43.03906
0.902741432,151.7408,-10.11116,43.04021
0.907765865,151.7405,-10.11194,43.04127
0.912790298,151.7399,-10.11239,43.04197
0.917817116,151.7384,-10.11302,43.04331
0.922839642,151.7377,-10.11348,43.04366
0.927864552,151.7367,-10.11391,43.04507
0.932888985,151.7362,-10.11495,43.04627
0.937913895,151.7359,-10.11511,43.04752
0.942938328,151.7362,-10.11642,43.04887
0.947962761,151.7361,-10.11693,43.04979
0.952987671,151.7357,-10.11692,43.05007
0.958012104,151.7355,-10.11731,43.05055
0.960525036,151.7356,-10.11712,43.05121
0.965549469,151.7358,-10.11611,43.05307
0.970573902,151.7357,-10.11532,43.0545
0.975598812,151.7367,-10.11487,43.0556
0.980623245,151.7374,-10.1149,43.05678
0.985648155,151.7369,-10.11527,43.05796
0.990672588,151.737,-10.11618,43.0591
0.995697498,151.7364,-10.11729,43.06017
1.000721931,151.7372,-10.11814,43.0611
1.005746365,151.7389,-10.11944,43.06279
1.010771275,151.7399,-10.12088,43.06422
1.015795708,151.7408,-10.12209,43.06446
1.020821095,151.7423,-10.12328,43.06538
1.025845528,151.7431,-10.12415,43.06562
1.030870438,151.7443,-10.12577,43.06573
1.035894871,151.7443,-10.12719,43.0659
1.040919781,151.7443,-10.12865,43.06663
1.045944214,151.7448,-10.12952,43.0672
1.050969124,151.7453,-10.13118,43.06787
1.055993557,151.7458,-10.13217,43.06887
1.061017990,151.746,-10.13196,43.0692
1.066042900,151.7466,-10.13249,43.06942
1.071063519,151.7466,-10.13385,43.06938
1.076087952,151.7453,-10.13493,43.06953
1.081112862,151.7434,-10.13602,43.06936
1.086137295,151.7421,-10.13778,43.06953
1.091161728,151.7411,-10.13881,43.06915
1.096188545,151.7411,-10.13944,43.06887
1.101211071,151.7422,-10.14054,43.06834
1.106236458,151.7438,-10.14137,43.06801
1.111261368,151.7464,-10.14221,43.06733
1.116285801,151.7498,-10.14299,43.06643
1.121310234,151.7533,-10.14453,43.06669
1.126335144,151.7554,-10.14583,43.06644
1.131359577,151.7563,-10.14732,43.06646
1.136384487,151.7569,-10.14874,43.06664
1.141408920,151.7567,-10.15063,43.06689
1.146433830,151.7546,-10.15318,43.06752
1.151458263,151.753,-10.15493,43.0677
1.156482697,151.7517,-10.1567,43.06752
1.161507607,151.7503,-10.15854,43.06721
1.166532040,151.7495,-10.15958,43.06681
1.171556950,151.7483,-10.1608,43.0667
1.176581383,151.7474,-10.1617,43.06624
1.181605816,151.7455,-10.16203,43.06652
1.186630726,151.7439,-10.16247,43.06562
1.191656113,151.7415,-10.16349,43.06557
1.196680546,151.7403,-10.16441,43.06475
1.201705456,151.7395,-10.16423,43.06404
1.206729889,151.7389,-10.16444,43.06391
1.211754322,151.7378,-10.16468,43.06502
1.216779232,151.7369,-10.16537,43.06461
1.221803665,151.7351,-10.1661,43.06512
1.226828575,151.7332,-10.16676,43.06575
1.231856823,151.7318,-10.16772,43.06549
1.236877441,151.7309,-10.16887,43.06552
1.241902351,151.7301,-10.16967,43.0659
1.246926784,151.7303,-10.17025,43.06666
1.251951694,151.7319,-10.17189,43.06643
1.256976127,151.7323,-10.17303,43.06681
