Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000832558,0.7531437,0.9929049,37.99493
0.005857468,0.8668718,0.9912521,37.99493
0.010881901,0.8314468,0.9954481,37.99493
0.015906334,0.8526901,0.9960066,38.18813
0.020931244,0.8618714,0.9938227,38.18813
0.025951862,1.250508,0.9908917,38.18813
0.030976295,1.114473,0.9915406,38.18813
0.036001205,1.128773,0.9942087,38.18813
0.041025639,1.155687,0.9959156,38.18813
0.046050549,1.207293,0.9937527,38.18813
0.051074982,1.559026,0.992681,38.18813
0.056099415,1.539249,0.9945854,38.18813
0.061124325,1.397933,0.9876346,38.11732
0.066148758,1.032392,0.993959,38.11732
0.071174145,1.27217,0.9911817,38.11732
0.076199055,1.27841,0.9891894,38.11732
0.081223488,1.073447,0.9948723,38.11732
0.086247921,1.12909,0.9850112,38.11732
0.091272831,0.9094104,0.9949218,38.11732
0.096297264,1.022903,0.9907525,38.11732
0.101322174,0.6761529,0.9899293,38.11732
0.106346607,0.9153525,0.9888645,38.11732
0.111371040,0.72409,0.9974046,38.28711
0.116395950,0.6498327,0.9868906,38.28711
0.121420383,0.6451362,0.9944033,38.28711
0.126449585,0.6675304,0.9870688,38.28711
0.131470680,0.5962274,0.9906785,38.28711
0.136494637,0.3556654,0.9953953,38.28711
0.141519070,0.5147879,0.991119,38.28711
0.146547794,0.5913607,0.9938813,38.28711
0.151568413,0.5621516,0.9915985,38.28711
0.156597614,0.6194255,0.9964042,38.28711
0.161618233,0.4945675,0.9913225,37.99493
0.166642666,0.6585773,0.9907817,37.99493
0.171667576,0.5091925,0.9928277,37.99493
0.176692009,0.3292564,0.9963887,37.99493
0.181716919,0.180336,0.9884673,37.99493
0.186745167,0.2389406,0.99003,37.99493
0.191766262,0.2389406,0.9982669,37.99493
0.196790695,0.4873045,0.9943759,37.99493
0.201815128,0.4708985,0.9937389,37.99493
0.206840038,0.4677525,0.9915864,37.99493
0.211864471,0.4813665,0.9919407,38.72503
0.216893196,0.2771841,0.994193,38.72503
0.221913815,0.2029667,0.9885193,38.72503
0.226934433,0.3983554,0.9910968,38.72503
0.231960296,0.4344263,0.9967374,38.72503
0.236983776,0.4002999,0.9969468,38.72503
0.242009163,0.4508217,0.9917064,38.72503
0.247033596,0.4166957,0.9946815,38.72503
0.252058506,0.4831814,0.9906785,38.72503
0.257082939,0.3582598,0.9900495,38.18813
0.262107372,0.5621317,0.9938241,38.18813
0.267132282,0.3437304,0.9941804,38.18813
0.272156715,0.540763,0.9938452,38.18813
0.277181625,0.5977234,0.9922519,38.18813
0.282206058,0.5238854,0.9974808,38.18813
0.287230491,0.7216797,0.9944738,38.18813
0.292255401,0.6586578,0.991278,38.18813
0.297279835,0.706138,0.9911519,38.18813
0.302304745,0.764335,0.9947603,38.18813
0.307329178,0.6558115,0.9954253,38.37487
0.312354088,0.812637,0.9893356,38.37487
0.317378521,0.5209324,0.9893412,38.37487
0.322402954,0.6373262,0.9905944,38.37487
0.327428341,0.3883756,0.9915354,38.37487
0.332453251,0.2483729,0.9931153,38.37487
0.337477684,0.5934111,0.9973511,38.37487
0.342502117,0.5824423,0.9924251,38.37487
0.347527027,0.6342915,0.9939772,38.37487
0.352551460,0.7427753,0.98849,38.37487
0.357576370,0.4971619,0.9936839,38.09993
0.362600803,0.5539562,0.9927098,38.09993
0.367625713,0.6016921,0.9944261,38.09993
0.372650146,0.7307264,0.9916554,38.09993
0.377677917,0.7227502,0.9921691,38.09993
0.382699489,0.8339754,0.9927288,38.09993
0.387723923,0.5603129,0.9947315,38.09993
0.392748833,0.4262535,0.9877703,38.09993
0.395261288,0.1938419,0.9911091,38.09993
0.400286198,0.1668621,0.9861199,38.09993
0.405310631,0.5596803,0.9860689,37.99493
0.410335064,0.3308226,0.9910905,37.99493
0.415359974,0.5481427,0.9957548,37.99493
0.468118667,0.2092911,0.9946368,38.63806
0.473139286,0.1312939,0.9941224,38.63806
0.475652218,0.3481722,0.9971241,38.63806
0.480676651,0.1312939,0.9912742,38.63806
0.485701561,0.1514915,0.9927041,38.63806
0.490725994,0.2812635,0.993227,38.63806
0.495750427,0.2748113,0.9925644,38.63806
0.500775337,0.3390441,0.9934954,38.63806
0.505799770,0.518971,0.9913788,38.47886
0.510824680,0.5385849,0.995303,38.47886
0.515849113,0.6834426,0.9938782,38.47886
0.520874023,0.6340789,0.9908308,38.47886
0.525898456,0.7226357,0.9940619,38.47886
0.530922890,0.5778398,0.9908717,38.47886
0.535947800,0.4028286,0.988102,38.47886
0.540972233,0.4881436,0.99484,38.47886
0.545997620,0.3828866,0.9895362,38.47886
