Time (s),Roll (deg),Pitch (deg),Yaw (deg)
2.572558880,-7.268914,23.40964,5.683837
2.592763424,-7.260955,23.40626,5.687427
2.612967968,-7.251626,23.40574,5.689906
2.633172035,-7.267006,23.41168,5.682201
2.653376579,-7.25739,23.40931,5.686841
2.673580170,-7.25849,23.40545,5.687229
2.693784714,-7.25498,23.4076,5.687819
2.713988781,-7.250772,23.40302,5.685657
2.734193325,-7.264531,23.40773,5.679724
2.754397392,-7.255283,23.40606,5.684305
2.774601936,-7.249369,23.40348,5.685425
2.792280197,-7.24697,23.40341,5.685346
2.812484741,-7.247304,23.40213,5.682858
2.832688808,-7.255167,23.40882,5.67847
2.852893352,-7.257934,23.4052,5.676991
2.873097897,-7.243231,23.40225,5.681755
2.893301964,-7.253386,23.4,5.674856
2.913506508,-7.246571,23.39724,5.67466
2.933710098,-7.260503,23.39816,5.664508
2.953914642,-7.256497,23.39458,5.668593
2.974118710,-7.260715,23.39946,5.663349
2.994323254,-7.265746,23.39806,5.660066
3.014527797,-7.261909,23.39573,5.659373
3.034731388,-7.275937,23.40105,5.652537
3.052410126,-7.29402,23.40995,5.643341
3.072614670,-7.313233,23.41693,5.633138
3.092819214,-7.301545,23.42061,5.635986
3.113023281,-7.325314,23.41942,5.622006
3.133227825,-7.322661,23.42655,5.626
3.153431415,-7.357101,23.44127,5.610476
3.173635959,-7.349566,23.44242,5.617608
3.193840027,-7.344931,23.44406,5.618279
3.214044571,-7.35826,23.45061,5.613677
3.234249115,-7.357796,23.45622,5.611895
3.254453182,-7.391613,23.4591,5.597789
3.274657726,-7.348829,23.45733,5.612724
3.292335987,-7.379287,23.45784,5.598278
3.312540054,-7.355531,23.46044,5.613645
3.332744598,-7.380983,23.46277,5.597146
3.352949142,-7.376918,23.44794,5.601234
3.373153210,-7.366341,23.45714,5.601569
3.393357754,-7.396717,23.45506,5.592574
3.413561344,-7.431812,23.5054,5.579019
3.433765888,-7.421298,23.45867,5.585515
3.453969955,-7.481061,23.49991,5.556059
3.474174499,-7.429434,23.50681,5.587565
3.494379043,-7.46797,23.50892,5.573782
3.514582634,-7.444938,23.50042,5.57988
3.532261372,-7.45403,23.50992,5.572183
3.552465916,-7.448918,23.49817,5.575977
3.572670460,-7.453461,23.5056,5.57138
3.592874527,-7.441389,23.49634,5.575792
3.613079071,-7.464156,23.50524,5.564679
3.633282661,-7.43848,23.50216,5.574156
3.653487205,-7.457708,23.50696,5.561712
3.673691273,-7.45643,23.50211,5.561483
3.693895817,-7.456835,23.50989,5.561085
3.714100361,-7.45857,23.50342,5.560287
3.734304428,-7.464296,23.50392,5.558672
3.754508972,-7.447543,23.50151,5.565562
3.774712563,-7.450282,23.50012,5.563079
3.792391777,-7.465829,23.50742,5.560011
3.812595844,-7.433331,23.48698,5.577736
3.832800388,-7.455389,23.51435,5.562572
3.853004456,-7.430503,23.51069,5.575209
3.873209000,-7.439986,23.51509,5.571518
3.893412590,-7.447107,23.50396,5.568146
3.913617134,-7.445421,23.50971,5.567138
3.933821678,-7.429782,23.51424,5.574169
3.954025745,-7.437269,23.5116,5.568424
3.974230289,-7.443976,23.50401,5.563932
3.994433880,-7.442389,23.50197,5.56385
4.014638424,-7.44431,23.50058,5.562626
4.032317161,-7.442024,23.49939,5.563517
4.052521705,-7.437318,23.50293,5.565205
4.072725773,-7.440699,23.49986,5.560886
4.092930317,-7.44498,23.49988,5.555538
4.113133907,-7.445569,23.50292,5.555434
4.133338451,-7.436316,23.5074,5.562284
4.153542995,-7.432538,23.5069,5.565189
4.173747062,-7.430823,23.50778,5.56314
4.193951607,-7.441343,23.50708,5.555142
4.214155674,-7.440069,23.51278,5.555433
4.234360218,-7.440288,23.51824,5.554226
4.254563808,-7.442774,23.51512,5.552309
4.274768352,-7.437956,23.51428,5.552059
4.292447090,-7.444377,23.514,5.54788
4.312651634,-7.439549,23.51261,5.548734
4.332855701,-7.445528,23.51538,5.543054
4.353060245,-7.443916,23.51266,5.541575
4.373263836,-7.449298,23.51429,5.5316
4.393468380,-7.45327,23.51633,5.524885
4.413672924,-7.450467,23.51703,5.52401
4.433876991,-7.453354,23.51438,5.520447
4.454081535,-7.448132,23.51143,5.519249
4.474285126,-7.446094,23.5094,5.51546
4.494489670,-7.441536,23.51139,5.508749
4.514693737,-7.431119,23.51125,5.487886
4.532372951,-7.432886,23.51037,5.450969
4.552577019,-7.446513,23.50523,5.412387
4.572781563,-7.456014,23.49648,5.392886
4.592985153,-7.456695,23.49732,5.380997
4.613189697,-7.450749,23.4971,5.364899
4.633394241,-7.438566,23.49356,5.336856
4.653598308,-7.427896,23.49597,5.289101
4.673802853,-7.421026,23.49186,5.221463
4.694006920,-7.405778,23.49211,5.13961
4.714211464,-7.336139,23.49574,5.0243
4.734415054,-7.2052,23.50529,4.783845
4.754619598,-7.036373,23.50406,4.317749
4.772298336,-6.847102,23.49785,3.660577
4.792502880,-6.552704,23.46782,2.521723
4.812706947,-6.174042,23.41195,0.7978884
4.832911491,-5.741681,23.29825,-1.712158
4.853116035,-5.293052,23.12768,-5.169832
4.873319626,-4.84486,22.83205,-9.666526
4.893524170,-4.433395,22.38412,-15.21326
4.913728237,-4.044687,21.82975,-21.72336
4.933932781,-3.722874,21.1424,-29.02654
4.954136372,-3.391969,20.40272,-36.96117
4.974340916,-3.008246,19.63125,-45.36005
4.994545460,-2.628044,18.85149,-54.04871
5.014749527,-2.232814,18.1018,-62.93184
5.032428264,-1.99376,17.45078,-70.62075
5.052632808,-1.619659,16.83765,-79.02256
5.072837353,-1.008543,16.31935,-87.00999
5.093040943,-0.253221,15.89771,-95.06997
5.113245487,0.5332863,15.58924,-103.204
5.133449554,1.286188,15.38307,-111.2827
5.153654098,2.066805,15.29895,-119.2924
5.173858166,2.88468,15.31289,-127.2261
5.194062710,3.713055,15.46305,-135.1377
5.214267254,4.489855,15.6882,-143.0522
5.234470844,5.14476,16.00447,-150.8949
5.254675388,5.717952,16.36702,-158.6213
5.272354126,6.218671,16.78767,-165.2822
5.292558670,6.716751,17.30046,-172.8134
5.312762737,7.190653,17.89021,179.5704
5.332967281,7.630924,18.5459,171.7919
5.353170872,7.943544,19.27345,163.8329
5.373375416,8.190555,20.04656,155.609
5.393579483,8.326989,20.8902,147.1062
5.413784027,8.363888,21.76226,138.2665
5.433987617,8.259061,22.60493,129.0963
5.454192161,7.986331,23.45309,119.6423
5.474396706,7.54363,24.25661,109.8182
5.494600773,6.936569,24.97974,99.64066
5.514805317,6.172742,25.5987,89.14403
5.532484054,5.365804,26.01775,79.73335
5.552688599,4.331318,26.34699,68.86227
5.572892189,3.246717,26.50611,57.92184
5.593096733,2.135546,26.44606,46.90308
5.613300800,0.9705727,26.20414,35.83264
5.633505344,-0.1360046,25.73098,24.9766
5.653709888,-1.042331,25.11884,14.32646
5.673913956,-1.749951,24.38431,3.736733
5.694118500,-2.217843,23.55603,-6.913386
5.714322090,-2.350302,22.68335,-17.85629
5.734526634,-2.479121,21.78408,-29.28818
5.754730701,-2.503402,20.79514,-41.06366
5.772409916,-2.552578,20.04772,-51.38572
5.792613983,-2.452988,18.80688,-62.66198
5.812818527,-1.898616,17.97958,-73.88457
5.833022118,-1.074606,17.47237,-85.22347
5.853226662,-0.08924646,17.08918,-96.90768
5.873430729,0.960927,16.78621,-108.8813
5.893635273,2.134674,16.66303,-121.1989
5.913839817,3.315937,16.77161,-133.8896
5.934043407,4.45832,17.15206,-146.938
5.954247951,5.513412,17.80732,-160.3804
5.974452019,6.353287,18.71249,-174.1442
5.994656563,6.819678,19.71729,171.949
6.012335300,6.971562,20.66385,159.6514
6.032539844,6.684546,21.62465,145.8068
6.052743435,6.25833,22.50842,132.1263
6.072947979,5.686093,23.2592,118.2591
6.093152046,5.029516,23.81679,104.8541
6.113356590,4.246895,24.44118,90.92432
6.133561134,3.309711,24.74093,76.66277
6.153765201,2.229779,24.86184,62.54076
6.173969745,1.106885,24.74631,48.6823
6.194173336,0.1742234,24.30883,35.22179
6.214377880,-0.483061,23.74817,21.90028
6.234581947,-1.02903,23.05781,8.406203
6.254786491,-1.42295,22.25146,-5.239653
6.272465229,-1.611372,21.50478,-17.21441
6.292669773,-1.676896,20.62336,-30.75115
6.312873363,-1.505446,19.73332,-44.05619
6.333077907,-1.085483,18.94141,-57.33479
6.353282451,-0.4159585,18.26775,-70.81277
6.373486519,0.4003904,17.76167,-84.44422
6.393691063,1.373084,17.46929,-98.32532
6.413894653,2.384388,17.42392,-112.4003
6.434099197,3.384155,17.64262,-126.6433
6.454303264,4.32492,18.08568,-141.1285
6.474507809,5.137928,18.77699,-155.855
6.494712353,5.780786,19.67511,-170.8942
6.512391090,5.981214,20.54302,175.7221
6.532594681,5.920052,21.577,160.1697
6.552799225,5.548744,22.54014,144.3746
6.573003292,4.912675,23.38175,128.4099
6.593207836,3.995095,24.01318,112.3994
6.613412380,3.026743,24.4183,96.21145
6.633616447,1.973982,24.57505,79.86813
6.653820991,0.9310782,24.47142,63.39391
6.674024582,-0.09428126,24.07909,46.98754
6.694229126,-1.022716,23.42482,30.96224
6.714433670,-1.696152,22.54564,15.4983
6.734637737,-2.16654,21.53071,0.6551946
6.752316475,-2.277774,20.63691,-11.95967
6.772521019,-1.93673,19.63337,-26.16965
6.792725563,-1.364914,18.75244,-40.60799
6.812929153,-0.6463352,18.03159,-55.30104
6.833133697,0.2820553,17.49524,-70.20499
6.853337765,1.372475,17.22531,-85.43855
6.873542309,2.513718,17.23384,-100.8593
6.893745899,3.604788,17.56618,-116.3697
6.913950443,4.574377,18.16218,-132.0046
6.934154987,5.324064,18.97487,-147.7859
6.954359055,5.928286,20.04613,-163.8737
6.974563599,6.102384,21.24083,179.525
6.994767666,5.79502,22.46234,162.4135
7.012446880,5.169793,23.38938,147.0221
7.032650471,4.161948,24.26201,129.1433
7.052855015,2.797548,24.7626,111.3233
7.073059082,1.433476,24.87391,93.67217
7.093263626,0.1567159,24.60061,76.36451
7.113467693,-0.9136487,24.0018,59.39294
7.133672237,-1.743537,23.16353,42.74783
7.153876781,-2.305369,22.12586,26.57602
7.174080372,-2.46695,20.9977,10.8567
7.194284916,-2.307632,19.88288,-4.699177
7.214488983,-1.779299,18.8826,-20.39928
7.234693527,-1.100856,18.01956,-36.04853
7.252372265,-0.2730117,17.46062,-49.71835
7.272576809,0.8024727,17.03771,-65.4385
7.292780399,1.94015,16.91465,-81.28461
7.312984943,3.097702,17.10329,-97.09565
7.333189010,4.079848,17.54395,-112.6648
7.353393555,4.894985,18.20373,-127.9871
7.373598099,5.476977,19.0003,-142.8428
7.393801689,5.999819,19.91733,-157.6621
7.414006233,6.284461,20.99832,-172.8622
7.434210300,6.116807,22.05869,171.6589
7.454414844,5.60634,23.07936,155.7363
7.474618912,4.867001,23.98208,139.2174
7.492298126,3.917081,24.58921,124.4543
7.512501717,2.605077,24.98682,107.3434
7.532706261,1.323638,25.03869,90.07542
7.552910328,0.05932381,24.74812,72.80435
7.573114872,-1.04425,24.12881,55.64202
7.593319416,-1.910288,23.23674,38.82294
7.613523483,-2.406204,22.16238,22.28642
7.633728027,-2.606976,21.00818,5.896206
7.653931618,-2.410447,19.86586,-10.52703
7.674136162,-1.898618,18.80821,-26.95849
7.694340229,-1.114462,17.9242,-43.37411
7.714544773,-0.1676427,17.27304,-59.75829
7.734749317,1.036068,16.93178,-76.22735
7.752428055,2.109893,16.8909,-90.66188
7.772631645,3.272218,17.17905,-107.1128
7.792836189,4.297203,17.73779,-123.3232
7.813040733,5.113705,18.51596,-139.3178
7.833244801,5.724958,19.47951,-155.2558
7.853449345,6.069184,20.58656,-171.2999
7.873652935,5.957242,21.68181,172.5725
7.893857479,5.499215,22.7171,156.14
7.914061546,4.841995,23.67086,139.1328
7.934266090,3.801497,24.40973,121.7372
7.954470634,2.493988,24.80901,104.1737
7.974674702,1.225307,24.85442,86.55953
7.992352962,0.09658737,24.59309,71.25645
8.012557506,-1.001026,23.97987,54.06647
8.032762050,-1.89152,23.10044,37.44519
8.052966118,-2.368893,22.03858,21.36376
8.073170662,-2.51456,20.92322,5.517797
8.093374729,-2.289326,19.79945,-10.36983
8.113579273,-1.766356,18.79757,-26.28971
8.133782863,-0.9499819,17.95622,-42.31138
8.153987407,0.01811091,17.35962,-58.49512
8.174191952,1.184991,17.06615,-74.856
8.194396019,2.353247,17.06106,-91.23876
8.214600563,3.515924,17.41597,-107.7292
8.232279301,4.398357,17.97373,-122.1578
8.252483845,5.191977,18.81577,-138.5903
8.272687435,5.75346,19.84672,-155.0542
8.292891979,6.007751,21.02952,-171.8174
8.313096046,5.772782,22.18811,171.1649
8.333300590,5.090255,23.2196,153.8263
8.353505134,4.214056,24.10853,135.9268
8.373708725,2.925876,24.68215,117.7823
8.393913269,1.538682,24.85954,99.54725
8.414117336,0.2631821,24.66432,81.30455
8.434321880,-0.905337,24.09326,63.18959
8.454525947,-1.819983,23.23964,45.3673
8.474730492,-2.409747,22.15788,28.0188
8.492408752,-2.56376,21.13807,13.04418
8.512613296,-2.428238,19.96549,-4.093567
8.532817364,-1.889816,18.90158,-21.38258
8.553021908,-1.117705,18.00798,-38.63213
8.573225975,-0.1448737,17.37963,-55.87527
8.593430519,1.01397,17.04832,-73.16103
8.613635063,2.139021,17.00975,-90.0896
8.633838653,3.189565,17.07031,-106.8421
8.654043198,4.183439,17.71998,-123.1937
8.674247265,5.048212,18.67663,-139.4352
8.694451809,5.649272,19.69476,-155.7493
8.714655399,5.982221,20.82708,-172.2812
8.732335091,5.891289,21.8351,173.0104
8.752538681,5.422987,22.95986,155.6541
8.772743225,4.592958,23.95169,137.6946
8.792947292,3.360212,24.63619,119.4113
8.813151836,1.92465,24.93854,100.9503
8.833356380,0.5691491,24.78334,82.30558
8.853559971,-0.7391222,24.32337,64.11581
8.873764515,-1.718219,23.55277,46.20821
8.893968582,-2.337757,22.49236,28.42291
8.914173126,-2.602418,21.32166,10.58658
8.934377193,-2.521282,20.1123,-7.353752
8.954581738,-2.071494,19.00314,-25.26967
8.972259998,-1.408734,18.14765,-40.87878
8.992464542,-0.4420398,17.44221,-58.75327
9.012668609,0.7758006,17.06265,-76.88673
9.032873153,2.187108,17.11461,-95.35129
9.053077698,3.453058,17.59357,-113.9446
9.073281765,4.434707,18.40207,-132.4723
9.093486309,5.059894,19.41919,-150.7662
9.113689899,5.357659,20.54673,-168.7678
9.133894443,5.266961,21.63208,173.4265
9.154098511,4.73391,22.62,155.5926
9.174303055,3.964613,23.36861,137.6414
9.194507599,2.930032,23.87621,119.6256
9.214711189,1.815866,24.091,101.4827
9.232389927,0.8977454,24.04185,85.49179
9.252594471,-0.116075,23.70879,67.31224
9.272799015,-0.9614813,23.08559,49.44642
9.293003082,-1.505112,22.2689,31.93038
9.313207626,-1.699844,21.3638,14.36164
9.333411217,-1.636302,20.42198,-3.58878
9.353615761,-1.281378,19.55958,-21.82319
9.373820305,-0.7254121,18.81565,-40.12099
9.394024372,-0.01205746,18.28036,-58.50693
9.414228916,0.9617202,18.0141,-77.13951
9.434432983,2.013218,18.05816,-96.00336
9.454637527,2.965297,18.44786,-114.9898
9.472315788,3.592655,18.9936,-131.47
9.492520332,4.05816,19.73804,-149.9798
9.512724399,4.273178,20.56317,-168.0944
9.532928944,4.167675,21.32999,174.2161
9.553133011,3.77071,21.93222,157
9.573337555,3.162386,22.3169,140.2791
9.593542099,2.64381,22.55263,123.8863
9.613745689,2.004508,22.64581,107.5609
9.633950233,1.476905,22.57259,91.10643
9.654154301,0.9938846,22.44746,74.97108
9.674358845,0.6073582,22.17709,58.93717
9.694563389,0.3303479,21.8003,42.90797
9.712242126,0.2115445,21.45791,28.91275
9.732445717,0.2063728,21.03257,12.70804
9.752650261,0.2627893,20.60049,-3.723396
9.772854805,0.4599877,20.2397,-20.39844
9.793058872,0.7239124,19.92426,-37.28854
9.813263416,1.001841,19.69331,-54.30587
9.833467007,1.411226,19.57164,-71.54767
9.853671551,1.831413,19.5499,-88.921
9.873875618,2.263697,19.69013,-106.3606
9.894080162,2.638834,19.93961,-123.8325
9.914284706,2.901209,20.27304,-141.2752
9.934488773,3.111173,20.69105,-158.7083
9.954693317,3.203755,21.17372,-176.3783
9.972371578,3.078153,21.57497,167.9704
9.992576122,2.704256,21.92373,149.8424
10.012780189,2.288315,22.24961,131.2402
10.032984733,1.667248,22.41375,112.5278
10.053188801,1.001858,22.3578,94.16976
10.073393345,0.505509,22.10558,76.35374
10.093596935,0.08897988,21.71282,59.17043
10.113801479,-0.1589113,21.22112,42.54355
10.134006023,-0.2326584,20.66517,26.48207
10.154210090,-0.1882065,20.09355,10.99506
10.174414635,0.2481449,19.61875,-4.356848
10.194618225,0.8007939,19.28723,-20.28333
10.212297916,1.196554,19.1068,-34.47837
10.232501507,1.711582,19.05086,-50.82912
10.252706051,2.291524,19.11687,-67.44811
10.272910118,2.886119,19.38289,-84.45271
10.293114662,3.438808,19.85053,-102.0017
10.313319206,3.757907,20.4981,-120.0374
10.333522796,3.820914,21.1933,-138.364
10.353727341,3.684619,21.90607,-156.9713
10.373931408,3.276111,22.58962,-175.9862
10.394135952,2.54657,23.08841,164.5776
10.414340019,1.589395,23.30182,144.7613
10.434544563,0.6539116,23.24768,124.6544
10.454749107,-0.3576963,22.86578,104.8415
10.472427368,-0.938844,22.30434,87.80792
10.492631435,-1.322495,21.52834,68.82317
10.512835979,-1.452124,20.66409,50.44975
10.533040523,-1.295756,19.81693,32.70581
10.553244591,-0.8862292,19.03701,15.60452
10.573449135,-0.2019374,18.40173,-1.154539
10.593652725,0.7559325,18.0448,-18.30133
10.613857269,1.64258,17.96198,-35.73084
10.634061813,2.531057,18.1244,-53.24955
10.654265881,3.333324,18.51535,-70.9167
10.674470425,3.963695,19.1181,-88.62112
10.694674015,4.399466,19.87325,-106.2717
10.712353706,4.578933,20.61447,-121.6972
10.732557297,4.489897,21.45126,-139.2359
10.752761841,4.215076,22.23833,-156.746
10.772965908,3.774699,22.9555,-174.5301
10.793170452,2.999067,23.48653,167.2683
10.813374042,1.967178,23.75378,148.5934
10.833578587,0.9436443,23.78098,129.4043
10.853783131,-0.1615059,23.45917,110.1715
10.873987198,-1.006223,22.83695,91.12322
10.894191742,-1.528453,22.02956,72.29868
10.914395809,-1.814749,21.07891,54.06256
10.934600353,-1.765462,20.11263,36.43815
10.952278614,-1.437257,19.31625,21.52808
10.972483158,-0.7770664,18.54646,4.611395
10.992687225,0.1293349,18.0004,-12.54211
11.012891769,1.103451,17.74425,-29.89679
11.033096313,2.092504,17.76107,-47.33454
11.053300380,3.012326,18.04227,-64.87675
11.073504925,3.800328,18.56436,-82.60396
11.093708515,4.476723,19.34853,-100.485
11.113913059,4.825715,20.28315,-118.3941
11.134117126,4.826298,21.24047,-136.2312
11.154321670,4.501026,22.11712,-153.8487
11.174526214,3.934171,22.83821,-171.1371
11.192204475,3.326236,23.26364,174.0436
11.212408542,2.524114,23.53105,157.202
11.232613087,1.608045,23.53032,140.3058
11.252817631,0.7966371,23.36871,123.1304
11.273021698,0.01840502,23.01226,105.6721
11.293226242,-0.5165945,22.47635,87.99345
11.313429832,-0.8508403,21.82878,70.20088
11.333634376,-0.982792,21.11735,52.41767
11.353838920,-0.9146813,20.41197,34.79665
11.374042988,-0.6097862,19.73216,17.31995
11.394247532,-0.1165299,19.18307,-0.228398
11.414451599,0.5477475,18.79843,-17.97676
11.434656143,1.184037,18.60584,-35.76875
11.452334404,1.813822,18.62593,-51.3406
11.472538948,2.365123,18.72776,-68.78036
11.492743015,2.851351,18.94656,-85.83893
11.512947559,3.332539,19.31775,-102.5951
11.533151626,3.685618,19.78968,-119.0031
11.553356171,3.86786,20.29718,-135.0499
11.573560715,3.865881,20.76609,-150.7095
11.593764305,3.906938,21.28897,-166.1039
11.613968849,3.89735,21.809,178.0871
11.634172916,3.582984,22.27984,162.0659
11.654377460,3.098584,22.60876,145.7563
11.674582004,2.581799,22.93613,128.8356
11.692260742,1.945728,23.05132,113.8148
11.712464333,1.229595,23.01305,96.5494
11.732668877,0.6386851,22.80045,79.16714
11.752873421,0.07601733,22.41742,61.99007
11.773077488,-0.2786978,21.92656,44.96014
11.793282032,-0.4191305,21.38177,27.88074
11.813485622,-0.424583,20.78734,10.65981
11.833690166,-0.2676373,20.24149,-6.742327
11.853894234,0.07250159,19.75653,-24.36634
11.874098778,0.4846514,19.37542,-42.07791
11.894303322,0.9471316,19.12515,-59.89952
11.914507389,1.540709,19.05809,-78.057
11.934711933,2.227181,19.21098,-96.58698
11.952390194,2.705457,19.50569,-112.8725
11.972594738,3.054586,19.95551,-131.3214
11.992798805,3.215362,20.44233,-149.4595
12.013003349,3.239245,20.95126,-167.2121
12.033207416,3.162929,21.3935,175.4459
12.053411960,2.961631,21.80025,157.9679
12.073616504,2.505646,22.07885,140.1635
12.093820095,2.063039,22.29564,122.006
12.114024639,1.5304,22.3733,103.6471
12.134228706,1.044024,22.32062,85.11143
12.154433250,0.5825214,22.11713,66.6721
12.174636841,0.1848629,21.77029,48.66792
12.192316532,-0.01770675,21.41442,33.1655
12.212520122,-0.03350937,20.94683,15.41499
12.232724666,0.05596108,20.50225,-2.630564
12.252928734,0.2981919,20.12115,-21.00805
12.273133278,0.5619856,19.80893,-39.46355
12.293337822,0.8473973,19.57614,-57.90243
12.313541412,1.308666,19.44774,-76.41934
12.333745956,1.759412,19.44423,-94.89031
12.353950024,2.22008,19.60919,-113.2882
12.374154568,2.543148,19.88394,-131.4277
12.394359112,2.74427,20.18658,-149.1943
12.414563179,2.870523,20.54972,-166.5533
12.432241440,2.870925,20.84056,178.6581
12.452445984,2.813135,21.07675,162.2065
12.472650528,2.616245,21.28222,145.7448
12.492854595,2.500569,21.49608,129.0607
12.513059139,2.218663,21.64066,112.4653
12.533263206,1.973347,21.73359,95.65192
12.553467750,1.761442,21.78796,78.68569
12.573672295,1.486527,21.75735,61.86079
12.593875885,1.27976,21.66209,45.13215
12.614080429,1.145487,21.54015,28.31232
12.634284496,1.04651,21.3753,11.16407
12.654489040,0.9497908,21.19644,-6.297701
12.674692631,0.8761862,20.98924,-23.86588
12.692372322,0.8290548,20.78423,-39.23213
12.712575912,0.7893971,20.5367,-56.73652
