Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.388892651,79.17188,85.3125,3.761875,321.875,0
1.443642616,79.16016,85.40625,3.75,292.1875,0
2.323166370,79.13672,85.21875,3.7575,323.4375,0
3.377587795,79.125,85.03125,3.763125,302.1875,0
4.433246136,79.11328,84.84375,3.76,364.0625,0
5.347310543,79.10156,84.84375,3.756875,312.8125,0
6.366040230,79.07422,84.46875,3.75875,316.5625,0
7.421037674,79.0625,84.5625,3.764375,311.875,0
8.318099022,79.05078,84.84375,3.76125,307.5,0
9.394595623,79.03906,84.75,3.761875,310.9375,0
10.409478188,79.01563,84.75,3.764375,295.9375,0
11.329833508,79.00391,84.75,3.76625,296.5625,0
12.343030453,78.98828,84.75,3.77,292.1875,0
13.398933888,78.96484,84.84375,3.76625,301.25,0
14.452624321,78.95313,85.03125,3.755625,296.875,0
15.332619190,78.94141,84.75,3.765,291.875,0
16.387713432,78.92969,84.75,3.7675,285.9375,0
17.442497730,78.90625,84.75,3.766875,336.875,0
18.320322990,78.89063,85.03125,3.765625,271.875,0
19.375611782,78.87891,85.125,3.766875,301.25,0
20.430216789,78.86719,85.125,3.76,304.375,0
21.308615208,78.84375,84.75,3.7625,338.75,0
22.364175797,78.83203,85.03125,3.766875,292.8125,0
23.418835640,78.82031,84.9375,3.768125,295,0
24.473571301,78.80859,84.9375,3.763125,300,0
25.353438854,78.78125,85.125,3.764375,315.3125,0
26.408075810,78.76953,85.40625,3.771875,286.25,0
27.463619709,78.75781,85.3125,3.7625,298.75,0
28.343019009,78.74609,85.3125,3.765625,299.375,0
29.395765305,78.72266,85.3125,3.761875,309.0625,0
30.454163075,78.71094,85.59375,3.764375,304.6875,0
31.432332993,78.69531,85.59375,3.75875,317.8125,0
32.385057449,78.68359,85.21875,3.756875,319.0625,0
33.439764977,78.66016,85.21875,3.765625,275.625,0
34.318917751,78.64844,85.3125,3.763125,291.875,0
35.441706181,78.63672,85.03125,3.755625,321.5625,0
36.428410053,78.625,85.03125,3.761875,303.75,0
37.308492661,78.61328,85.03125,3.756875,296.875,0
38.363295555,78.58594,85.03125,3.77,295.9375,0
39.418251991,78.57422,85.03125,3.76625,288.75,0
40.471703529,78.5625,84.9375,3.760625,308.125,0
41.350895882,78.53906,84.9375,3.761875,314.375,0
42.405892849,78.52734,84.75,3.764375,295.625,0
43.460375309,78.51563,84.9375,3.764375,308.125,0
44.339337349,78.5,85.03125,3.76625,291.5625,0
45.394110680,78.47656,84.84375,3.763125,307.8125,0
46.448875904,78.46484,85.125,3.75,274.6875,0
47.327709198,78.45313,85.3125,3.765,278.4375,0
48.382519245,78.44141,85.3125,3.765625,276.25,0
49.437932015,78.41797,85.03125,3.764375,292.8125,0
50.318415642,78.40234,84.75,3.7625,313.75,0
51.373677731,78.39063,84.375,3.7625,307.5,0
52.428308010,78.37891,84.46875,3.756875,301.5625,0
53.304912567,78.35547,84.375,3.76125,294.0625,0
54.375222683,78.34375,84.1875,3.7575,314.6875,0
55.414392471,78.33203,83.90625,3.76125,312.1875,0
56.469126225,78.30469,83.71875,3.760625,308.4375,0
57.348110676,78.29297,83.625,3.758125,320.625,0
58.403061867,78.28125,83.8125,3.761875,287.8125,0
59.457771301,78.26953,84,3.7625,314.6875,0
60.336596012,78.24609,84.09375,3.760625,320.625,0
61.392846108,78.23438,84,3.756875,294.0625,0
62.448313713,78.22266,84.1875,3.741875,296.875,0
63.325307846,78.20703,84.28125,3.759375,299.375,0
64.380386829,78.18359,84.1875,3.765,305.625,0
65.434792996,78.17188,84.1875,3.76625,285.625,0
66.313726902,78.16016,84.28125,3.765,292.8125,0
67.440075874,78.14844,84,3.7575,342.8125,0
68.423748493,78.13672,83.8125,3.7575,303.125,0
69.478148460,78.10938,84,3.765625,300,0
70.356922150,78.09766,83.8125,3.765,286.875,0
71.413125038,78.08594,84.09375,3.7575,303.125,0
72.467384815,78.0625,84,3.761875,305,0
73.345576763,78.05078,83.90625,3.7675,302.1875,0
74.403687000,78.03906,83.8125,3.76,285,0
75.455393791,78.02734,84.09375,3.76375,294.375,0
76.457167149,78,84.28125,3.770625,290.625,0
77.389096260,77.98828,84.28125,3.755,322.5,0
78.443565846,77.97656,84,3.765625,293.4375,0
79.322585106,77.96484,84.28125,3.76625,288.125,0
80.377520084,77.95313,84.1875,3.76375,289.6875,0
81.432968140,77.92969,84,3.759375,307.1875,0
82.313105583,77.91406,83.90625,3.755625,318.125,0
83.367417812,77.90234,84.1875,3.763125,293.125,0
84.422874928,77.87891,84.1875,3.7575,303.4375,0
85.477397442,77.86719,84.375,3.75875,302.5,0
86.354882240,77.85547,84.375,3.75875,309.375,0
87.409193039,77.84375,84.375,3.7625,306.5625,0
88.463841915,77.81641,84.46875,3.745,292.1875,0
89.342869282,77.80469,84.5625,3.75375,311.875,0
90.397763252,77.79297,84.65625,3.7675,288.75,0
91.452414513,77.78125,84.84375,3.76375,295,0
92.333021164,77.76953,84.9375,3.755,310.9375,0
93.387651444,77.74609,84.5625,3.7575,303.75,0
94.267529011,77.73438,84.75,3.756875,312.1875,0
95.320341587,77.71875,84.46875,3.76375,297.8125,0
96.377295971,77.70703,84.46875,3.75875,292.8125,0
97.430460453,77.68359,84.375,3.7625,297.8125,0
98.308851719,77.67188,84.1875,3.76375,328.4375,0
99.363770485,77.66016,84.09375,3.758125,306.25,0
100.418519497,77.64844,84,3.759375,298.125,0
101.346446991,77.62109,83.71875,3.75375,316.5625,0
102.424744606,77.60938,83.34375,3.755625,316.25,0
103.407805920,77.59766,83.15625,3.758125,296.875,0
104.317426205,77.58594,83.34375,3.755625,315.9375,0
105.343094826,77.5625,82.875,3.75375,328.4375,0
106.398682118,77.55078,83.0625,3.764375,296.25,0
107.452783108,77.53906,82.875,3.75875,307.5,0
108.330536842,77.51172,82.59375,3.75875,295.9375,0
109.384716988,77.5,82.78125,3.745,294.6875,0
110.439450264,77.48828,82.6875,3.75625,298.75,0
111.318385124,77.47656,82.40625,3.75875,327.5,0
112.373715878,77.45313,82.5,3.754375,320.9375,0
113.428093433,77.44141,82.6875,3.755625,304.375,0
