Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.001835346,0.6696811,0.4029256,0.61475,0.6346114,-0.7424814,-0.2103639,0.370857,0.5335125,-0.7590815
0.006859779,0.6696005,0.4030572,0.614751,0.6346433,-0.7425199,-0.2101324,0.3709472,0.5333597,-0.759145
0.011884689,0.6695257,0.4031864,0.6147486,0.6346639,-0.7425711,-0.2098893,0.3710482,0.5331909,-0.7592145
0.016909122,0.6694498,0.4033375,0.6147321,0.6346879,-0.7426252,-0.2096258,0.3711442,0.5330015,-0.7593009
0.021933556,0.6693838,0.4034777,0.6147131,0.6346976,-0.7426918,-0.2093621,0.3712484,0.5328032,-0.7593896
0.026958942,0.6693227,0.4036109,0.6146924,0.6347021,-0.7427605,-0.2091056,0.3713513,0.5326069,-0.7594774
0.031982899,0.6692621,0.4037373,0.6146756,0.6347032,-0.7428314,-0.2088514,0.3714591,0.5324126,-0.7595612
0.037011623,0.6692005,0.4038506,0.6146688,0.6347063,-0.7428955,-0.2086151,0.3715656,0.5322378,-0.7596321
0.042032242,0.6691427,0.4039529,0.6146647,0.6346998,-0.7429674,-0.2083794,0.3716809,0.5320601,-0.7597004
0.047057152,0.6690727,0.4040556,0.6146733,0.6347005,-0.7430348,-0.2081375,0.3718055,0.5318882,-0.7597599
0.052081585,0.6690165,0.4041443,0.6146773,0.6346874,-0.7431112,-0.2079063,0.3719308,0.5317148,-0.7598203
0.057106018,0.6689539,0.4042513,0.6146745,0.634679,-0.7431893,-0.2076537,0.3720571,0.5315245,-0.7598919
0.062126637,0.6688854,0.4043506,0.6146842,0.6346777,-0.7432577,-0.2074137,0.3721831,0.5313538,-0.7599498
0.067151546,0.6688225,0.4044585,0.6146818,0.6346777,-0.7433243,-0.2071761,0.3722963,0.531179,-0.7600169
0.072175980,0.6687528,0.4045736,0.614683,0.6346868,-0.743384,-0.2069352,0.372408,0.5310082,-0.7600819
0.077200890,0.6686837,0.4046928,0.6146802,0.6347035,-0.7434335,-0.2067069,0.3725044,0.5308484,-0.7601466
0.082230091,0.668623,0.4047788,0.6146897,0.6346993,-0.7434973,-0.2064912,0.3726206,0.5306938,-0.7601978
