Time (s),W,X,Y,Z
0.471625328,0.2068183,-0.8891835,-0.2913274,-0.2798837
0.476650238,0.2068346,-0.8891941,-0.291298,-0.2798687
0.481675148,0.2068607,-0.8892054,-0.2912598,-0.2798532
0.486699104,0.2068834,-0.8892156,-0.2912293,-0.2798359
0.491724014,0.2069113,-0.8892255,-0.291198,-0.2798161
0.496748448,0.2069281,-0.8892393,-0.2911722,-0.2797866
0.501773358,0.2069358,-0.8892521,-0.2911539,-0.2797594
0.506797791,0.206937,-0.8892622,-0.2911355,-0.2797456
0.511822224,0.2069296,-0.8892741,-0.2911222,-0.2797269
0.516847134,0.2069197,-0.8892835,-0.2911156,-0.279711
0.521874905,0.2069193,-0.8892913,-0.2911022,-0.2797006
0.526896477,0.2069157,-0.8892992,-0.2910877,-0.279694
0.531920910,0.2069189,-0.8893032,-0.291074,-0.2796926
0.536944866,0.206924,-0.8893069,-0.2910634,-0.2796881
0.541970253,0.2069293,-0.8893072,-0.2910527,-0.2796944
0.546994209,0.2069265,-0.8893083,-0.2910472,-0.2796986
0.552018643,0.2069301,-0.8893077,-0.2910386,-0.2797066
0.557043553,0.2069123,-0.8893111,-0.2910323,-0.2797157
0.562068939,0.2068914,-0.889316,-0.2910218,-0.2797267
0.567092896,0.2068712,-0.8893176,-0.2910206,-0.2797376
0.572117329,0.2068588,-0.8893177,-0.2910109,-0.2797571
0.577142239,0.2068443,-0.8893193,-0.2910001,-0.2797736
0.582166672,0.2068278,-0.8893225,-0.2909909,-0.2797852
0.587191105,0.2067976,-0.8893277,-0.2909876,-0.2797945
0.592216015,0.2067514,-0.8893353,-0.290991,-0.2798008
0.597240448,0.2066877,-0.8893472,-0.2909938,-0.2798072
0.602265358,0.2066201,-0.8893589,-0.2909969,-0.2798167
0.607289791,0.2065592,-0.889366,-0.2910074,-0.2798281
0.612314224,0.206506,-0.8893715,-0.2910094,-0.279848
0.617339134,0.2064693,-0.8893785,-0.2909996,-0.2798632
0.622363567,0.2064412,-0.8893812,-0.2909962,-0.2798784
0.627393723,0.2064032,-0.8893892,-0.2909878,-0.2798902
0.632412911,0.206357,-0.889402,-0.2909834,-0.279888
0.637437821,0.2063069,-0.8894167,-0.2909872,-0.2798744
0.642462254,0.2062463,-0.8894379,-0.2909892,-0.2798495
0.647486687,0.2061761,-0.8894562,-0.291002,-0.2798298
0.652511597,0.2061014,-0.8894722,-0.2910209,-0.279814
0.657536030,0.2060308,-0.8894886,-0.291037,-0.2797973
0.662560940,0.2059655,-0.8894985,-0.2910555,-0.2797945
0.667581558,0.2059077,-0.8894998,-0.2910764,-0.2798116
0.672605992,0.2058613,-0.8894975,-0.2910987,-0.2798295
0.677630425,0.2058163,-0.8894938,-0.2911186,-0.2798539
0.682655335,0.2057672,-0.8894926,-0.2911381,-0.2798735
0.687679768,0.2057001,-0.8894971,-0.2911602,-0.2798853
0.692704678,0.2056277,-0.8895029,-0.2911877,-0.2798916
0.697729111,0.2055502,-0.8895103,-0.2912202,-0.2798911
0.702754021,0.205472,-0.8895204,-0.2912509,-0.2798843
0.707778454,0.2053961,-0.8895293,-0.2912824,-0.2798792
0.712802887,0.2053291,-0.8895329,-0.2913157,-0.2798822
0.717827797,0.205273,-0.8895397,-0.2913461,-0.2798699
0.722852230,0.2052318,-0.8895414,-0.2913736,-0.2798659
0.727877140,0.2052009,-0.8895422,-0.291401,-0.2798576
0.732901573,0.205174,-0.8895448,-0.2914226,-0.2798467
0.737926483,0.2051533,-0.8895459,-0.2914495,-0.2798301
0.742950916,0.2051413,-0.8895484,-0.2914727,-0.2798074
0.747977734,0.2051297,-0.8895518,-0.2914941,-0.2797824
0.753000260,0.2051189,-0.8895531,-0.2915183,-0.279761
0.758027554,0.205103,-0.8895554,-0.2915418,-0.2797412
0.763049602,0.2050863,-0.8895583,-0.2915629,-0.2797219
0.768074036,0.2050784,-0.8895581,-0.2915841,-0.2797061
0.770586014,0.205075,-0.8895575,-0.2915965,-0.2796977
0.775616169,0.205061,-0.8895594,-0.2916206,-0.2796769
0.780635357,0.2050548,-0.8895573,-0.2916429,-0.2796651
0.785659790,0.2050394,-0.8895572,-0.2916645,-0.2796541
0.790684700,0.2050248,-0.8895569,-0.2916896,-0.2796395
0.795709133,0.2049986,-0.8895586,-0.2917161,-0.2796259
0.800734043,0.2049664,-0.8895559,-0.2917486,-0.2796238
0.805760384,0.2049408,-0.8895569,-0.2917703,-0.2796171
0.810782909,0.2049195,-0.8895584,-0.2917888,-0.2796083
0.815807819,0.2048934,-0.8895572,-0.2918161,-0.2796025
0.820835113,0.2048654,-0.8895574,-0.2918391,-0.279599
0.825857162,0.2048341,-0.8895549,-0.2918676,-0.2795996
0.830881596,0.2048065,-0.8895524,-0.2918935,-0.2796006
0.835906029,0.2047779,-0.8895455,-0.2919201,-0.279616
0.840930939,0.2047453,-0.8895388,-0.2919506,-0.2796292
0.845955372,0.2047099,-0.8895344,-0.2919645,-0.2796549
0.850980282,0.2046792,-0.8895271,-0.2919823,-0.2796819
0.856004715,0.204654,-0.889522,-0.291984,-0.279715
0.861029625,0.2046285,-0.8895224,-0.2919767,-0.27974
0.866050243,0.2045996,-0.8895274,-0.291968,-0.2797539
0.871074676,0.204568,-0.889538,-0.2919526,-0.2797598
0.876099110,0.2045526,-0.8895512,-0.29193,-0.2797528
0.881124020,0.2045483,-0.8895692,-0.2918991,-0.2797306
0.886148453,0.2045477,-0.8895887,-0.2918724,-0.2796974
0.891174316,0.2045539,-0.8896104,-0.2918373,-0.2796602
0.896197796,0.204553,-0.8896291,-0.2918205,-0.2796184
0.901222706,0.20455,-0.8896435,-0.2918144,-0.2795811
0.906247139,0.2045591,-0.8896552,-0.2918071,-0.2795455
0.911276340,0.2045857,-0.8896576,-0.2918006,-0.2795245
0.916295528,0.204641,-0.8896476,-0.2917895,-0.2795278
0.921320438,0.204699,-0.889627,-0.2917831,-0.2795571
0.926344872,0.204776,-0.8895966,-0.2917787,-0.2796025
0.931369781,0.2048437,-0.8895605,-0.2917725,-0.2796744
0.936394215,0.204923,-0.8895145,-0.2917662,-0.2797693
0.941418648,0.2049889,-0.8894688,-0.2917577,-0.2798751
0.946443558,0.2050593,-0.8894224,-0.291744,-0.2799849
0.951468945,0.2051138,-0.8893775,-0.2917324,-0.2800997
0.956492901,0.2051341,-0.8893356,-0.2917308,-0.2802198
0.961517334,0.2051219,-0.8892975,-0.2917417,-0.2803379
0.966542244,0.2050949,-0.8892568,-0.2917545,-0.2804735
0.971566677,0.2050748,-0.8892093,-0.2917656,-0.2806274
0.976591110,0.2051052,-0.8891529,-0.2917501,-0.2807997
0.981616020,0.2051827,-0.8890847,-0.2917127,-0.2809977
0.986640453,0.2053093,-0.8890103,-0.2916473,-0.2812089
0.991665363,0.2054577,-0.8889309,-0.29157,-0.2814313
0.996689796,0.2056034,-0.8888503,-0.2914917,-0.2816602
1.001714706,0.2057149,-0.8887804,-0.2914113,-0.2818831
1.006739140,0.2057862,-0.8887227,-0.2913388,-0.2820875
1.011763573,0.2058398,-0.8886711,-0.2912689,-0.282283
1.016788483,0.2059031,-0.8886269,-0.291182,-0.2824658
1.021812916,0.2059828,-0.8885829,-0.2910811,-0.2826498
1.026837826,0.2060869,-0.8885344,-0.2909733,-0.2828376
1.031862259,0.2062066,-0.8884805,-0.2908635,-0.2830322
1.036886692,0.2063321,-0.8884251,-0.2907567,-0.2832246
1.041911602,0.2064453,-0.8883659,-0.2906632,-0.2834235
1.046936035,0.206549,-0.8883077,-0.2905707,-0.2836252
1.051960945,0.206653,-0.8882483,-0.2904808,-0.2838275
1.056985378,0.2067627,-0.8881865,-0.2903883,-0.284036
1.062010288,0.2068809,-0.8881258,-0.2902846,-0.2842457
1.067030907,0.2070137,-0.8880633,-0.2901781,-0.2844529
1.072055340,0.2071483,-0.8880026,-0.2900631,-0.2846618
1.077082634,0.2072895,-0.8879447,-0.2899431,-0.2848616
1.082104683,0.2074374,-0.8878906,-0.289812,-0.2850555
1.087129116,0.2075997,-0.8878339,-0.2896772,-0.2852511
1.092154026,0.2077834,-0.8877752,-0.2895406,-0.2854388
1.097178459,0.2079799,-0.8877168,-0.2893927,-0.2856274
1.102202892,0.2081917,-0.8876578,-0.2892447,-0.285806
1.107227802,0.2083924,-0.8875996,-0.2890985,-0.2859882
1.112252235,0.208586,-0.8875468,-0.288957,-0.286154
1.117277145,0.2087741,-0.8874956,-0.2888268,-0.286307
1.122301579,0.2089376,-0.8874498,-0.2887155,-0.2864417
1.127326489,0.2090697,-0.887409,-0.2886212,-0.2865669
1.132350922,0.2091836,-0.8873743,-0.2885383,-0.286675
1.137375355,0.2092925,-0.8873416,-0.288464,-0.2867713
1.142400265,0.2094088,-0.887305,-0.2883989,-0.2868651
1.147424698,0.2095269,-0.8872678,-0.2883418,-0.2869514
1.152449608,0.2096491,-0.887233,-0.2882895,-0.2870224
1.157474041,0.209763,-0.8871992,-0.288251,-0.2870818
1.162497997,0.2098598,-0.8871696,-0.2882315,-0.2871222
1.167523384,0.2099439,-0.8871449,-0.2882252,-0.2871435
1.172547340,0.2100191,-0.8871215,-0.2882269,-0.287159
1.177571774,0.210107,-0.8870913,-0.2882354,-0.2871793
1.182600498,0.2102018,-0.887059,-0.2882468,-0.2871989
1.187621117,0.2102967,-0.8870206,-0.2882696,-0.2872243
1.192646027,0.2103935,-0.8869829,-0.2882869,-0.2872533
1.197670460,0.210481,-0.8869445,-0.2883128,-0.2872815
1.202694893,0.2105469,-0.8869075,-0.2883531,-0.2873071
1.207719803,0.2105981,-0.8868794,-0.2884012,-0.2873082
1.212744236,0.2106395,-0.8868538,-0.2884608,-0.2872967
1.217769146,0.2106716,-0.886831,-0.2885208,-0.2872831
1.222793579,0.210686,-0.8868043,-0.2885979,-0.2872777
1.227818489,0.210688,-0.886778,-0.2886784,-0.2872764
1.232842922,0.2106804,-0.8867434,-0.2887705,-0.2872962
1.237867355,0.210667,-0.8867023,-0.2888708,-0.2873324
1.242892265,0.2106525,-0.8866578,-0.2889737,-0.2873769
1.247916699,0.2106417,-0.8866035,-0.289088,-0.2874374
1.252941608,0.2106356,-0.8865498,-0.2892039,-0.2874905
1.257966042,0.2106334,-0.8864988,-0.2893149,-0.2875378
1.262990475,0.2106358,-0.8864508,-0.289423,-0.287575
1.268011570,0.2106265,-0.8864105,-0.289531,-0.2875976
1.273036003,0.210606,-0.8863792,-0.2896321,-0.2876077
1.278060436,0.210578,-0.8863552,-0.2897311,-0.2876019
1.283085346,0.21054,-0.8863377,-0.2898273,-0.2875867
1.285597801,0.2105218,-0.8863321,-0.2898692,-0.2875752
1.290622711,0.2104798,-0.8863251,-0.2899453,-0.2875506
1.295647144,0.2104296,-0.8863285,-0.2900226,-0.2874995
1.300671101,0.2103727,-0.8863347,-0.2901053,-0.2874386
1.305695534,0.210314,-0.8863477,-0.2901913,-0.2873547
1.310720444,0.2102514,-0.8863655,-0.2902821,-0.2872537
1.315748215,0.2101852,-0.8863854,-0.2903834,-0.2871378
1.320769787,0.2101119,-0.886407,-0.2904918,-0.2870155
1.325794220,0.2100355,-0.8864259,-0.2906157,-0.2868876
1.330820084,0.2099432,-0.8864436,-0.2907512,-0.2867631
1.335843563,0.2098553,-0.8864542,-0.2908981,-0.2866456
1.340867996,0.2097765,-0.8864591,-0.2910481,-0.2865359
1.345892906,0.2097111,-0.8864533,-0.2912034,-0.2864437
1.350917339,0.2096731,-0.8864321,-0.2913553,-0.286383
1.355942249,0.2096384,-0.8864043,-0.2915115,-0.2863351
1.360966683,0.209609,-0.8863693,-0.2916716,-0.2863021
1.365992069,0.2095558,-0.8863413,-0.2918256,-0.2862708
1.371016026,0.2094887,-0.8863178,-0.2919824,-0.2862327
1.376040459,0.2094062,-0.8862957,-0.2921353,-0.2862059
1.381065369,0.2093208,-0.8862817,-0.2922805,-0.2861632
1.386089802,0.2092431,-0.8862683,-0.2924127,-0.2861263
1.391119957,0.2091603,-0.8862591,-0.2925336,-0.2860917
1.396139145,0.2090801,-0.8862565,-0.2926378,-0.2860522
1.401163578,0.2090072,-0.8862583,-0.2927257,-0.28601
1.406188488,0.2089254,-0.886267,-0.2928087,-0.2859578
1.411212921,0.2088302,-0.8862826,-0.2928815,-0.2859043
1.416237831,0.2087353,-0.8863069,-0.2929405,-0.2858378
1.421262264,0.2086371,-0.8863343,-0.2930033,-0.2857599
1.426287174,0.2085383,-0.8863637,-0.2930756,-0.2856668
1.431311607,0.208427,-0.8863931,-0.2931588,-0.2855714
1.436336041,0.2083036,-0.8864174,-0.2932629,-0.2854789
1.441360951,0.2081781,-0.886435,-0.2933822,-0.2853933
1.446385384,0.2080543,-0.8864462,-0.2935066,-0.2853213
1.451410771,0.2079374,-0.8864449,-0.2936393,-0.2852738
1.456434727,0.2078228,-0.8864369,-0.293783,-0.2852342
1.461459160,0.2077005,-0.8864272,-0.2939279,-0.2852046
1.466479778,0.207563,-0.8864133,-0.2940837,-0.2851868
1.471504688,0.2074181,-0.8863983,-0.2942379,-0.2851799
1.476529122,0.207255,-0.8863863,-0.2943862,-0.2851827
1.481554031,0.2070719,-0.8863701,-0.2945377,-0.2852094
1.486578465,0.2068656,-0.8863535,-0.2946863,-0.2852572
1.491603375,0.2066535,-0.8863367,-0.2948264,-0.2853183
1.496627808,0.2064263,-0.8863189,-0.2949557,-0.2854047
1.501652241,0.2062037,-0.8862972,-0.2950722,-0.2855123
1.506681919,0.206006,-0.8862753,-0.2951607,-0.2856317
1.511701584,0.2058389,-0.8862514,-0.2952207,-0.285764
1.516726494,0.2057208,-0.8862238,-0.2952528,-0.2859018
1.521750927,0.2056347,-0.8861964,-0.2952636,-0.2860375
1.526775360,0.2055773,-0.8861696,-0.295258,-0.2861674
1.531800270,0.2055256,-0.8861501,-0.2952383,-0.2862855
1.536824703,0.2054733,-0.8861351,-0.295216,-0.2863922
1.541848660,0.2054114,-0.8861245,-0.2951975,-0.2864887
1.546873570,0.205359,-0.8861142,-0.2951775,-0.2865785
